n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size,ratio_AB_avg,ratio_AB_max,ratio_AB_min
20648.0,4.0,3.0,0.0064411163330078125,0.0008153915405273438,0.015830516815185547,0.0015531910790337457,0.0,0.0029675960540771484,6882.666666666667,383.0,16698.0,4.147021200388873,5.334458102353981,1.0
20648.0,4.0,4.0,0.005343447791205512,0.0,0.015674591064453125,0.001638899909125434,0.0,0.015624046325683594,5162.0,383.0,16116.0,3.2603868982193887,1.0032350607336873,1.0
20648.0,4.0,5.0,0.005368516362946609,0.0,0.015896320343017578,0.0020888180568300442,0.0,0.01562666893005371,4129.6,382.0,15296.0,2.570121579231166,1.0172558473063484,1.0
20648.0,4.0,6.0,0.006305830207413542,0.0,0.01983332633972168,0.002363958758508374,0.0,0.01562976837158203,3441.3333333333335,260.0,13508.0,2.6674874021035953,1.2689456342668863,1.0
20648.0,4.0,7.0,0.006860604652991662,0.0,0.01566314697265625,0.0025175298963274273,0.0,0.016013145446777344,2949.714285714286,93.0,8796.0,2.7251333392306134,0.9781430528259186,1.0
20648.0,4.0,8.0,0.007466439741203584,0.0,0.01780390739440918,0.0024437243679919876,0.0,0.015628814697265625,2581.0,53.0,8597.0,3.0553526571979024,1.1391719550890895,1.0
20648.0,4.0,9.0,0.00780723871809713,0.0,0.02168893814086914,0.0033653853984361285,0.0,0.01793193817138672,2294.222222222222,51.0,8378.0,2.3198646793098643,1.2095144391852364,1.0
48204.0,5.0,3.0,0.007175123691558838,0.0,0.023664474487304688,0.008358395099639893,0.0,0.015625715255737305,16068.0,13209.0,20148.0,0.8584331807750948,1.5144570408459086,1.0
48204.0,5.0,4.0,0.013744890689849854,0.0,0.020711421966552734,0.005784471829732259,0.0,0.015625715255737305,12051.0,9178.0,14303.0,2.3761703910806413,1.3254703306428233,1.0
48204.0,5.0,5.0,0.01569204278044648,0.0070781707763671875,0.028495073318481445,0.004696434670752221,0.0,0.015675067901611328,9640.8,5301.0,12763.0,3.3412671272042007,1.8178596416512032,1.0
48204.0,5.0,6.0,0.01598978042602539,0.0024051666259765625,0.03125596046447754,0.006282774607340494,0.0,0.016312599182128906,8034.0,4825.0,11943.0,2.545018948689277,1.9160625548085355,1.0
48204.0,5.0,7.0,0.018180361500492803,0.014113903045654297,0.03125810623168945,0.00645566428149188,0.0,0.01749730110168457,6886.285714285715,4458.0,11477.0,2.8161875692041702,1.7864530106691738,1.0
48204.0,5.0,8.0,0.019540734589099884,0.005873918533325195,0.03128337860107422,0.007519632577896118,0.0,0.016261577606201172,6025.5,3658.0,8314.0,2.5986289072872615,1.9237603729877137,1.0
48204.0,5.0,9.0,0.02156793239504792,0.015592575073242188,0.036226749420166016,0.007275495418282442,0.0,0.01566004753112793,5356.0,3263.0,7939.0,2.9644623706105713,2.3133230820760318,1.0
