n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size,ratio_AB_median
1000000.0,1.0,3.0,62.5,31.25,78.125,15.625,0.0,15.625,333333.3333333333,298050.0,371791.0,4.0
1000000.0,1.0,6.0,85.9375,0.0,343.75,15.625,0.0,78.125,166666.66666666666,111706.0,219459.0,5.5
1000000.0,1.0,9.0,125.0,31.25,281.25,15.625,0.0,46.875,111111.11111111111,57363.0,161509.0,8.0
1000000.0,1.0,12.0,140.625,109.375,203.125,15.625,0.0,31.25,83333.33333333333,37944.0,121357.0,9.0
1000000.0,1.0,15.0,156.25,125.0,187.5,15.625,0.0,31.25,66666.66666666667,24228.0,101426.0,10.0
1000000.0,1.0,18.0,187.5,140.625,234.375,15.625,0.0,31.25,55555.555555555555,23088.0,91430.0,12.0
1000000.0,1.0,21.0,203.125,156.25,234.375,15.625,0.0,31.25,47619.04761904762,7790.0,72104.0,13.0
1000000.0,1.0,24.0,218.75,171.875,250.0,15.625,0.0,31.25,41666.666666666664,12523.0,72728.0,14.0
1000000.0,1.0,27.0,234.375,203.125,281.25,15.625,0.0,31.25,37037.03703703704,9867.0,73573.0,15.0
1000000.0,1.0,30.0,250.0,203.125,281.25,15.625,0.0,31.25,33333.333333333336,7142.0,56634.0,16.0
1000000.0,1.0,33.0,265.625,234.375,312.5,15.625,0.0,31.25,30303.030303030304,6393.0,56067.0,17.0
1000000.0,1.0,36.0,281.25,234.375,312.5,15.625,0.0,31.25,27777.777777777777,6774.0,58091.0,18.0
1000000.0,1.0,39.0,296.875,250.0,328.125,15.625,0.0,31.25,25641.02564102564,2813.0,40091.0,19.0
1000000.0,1.0,42.0,312.5,125.0,343.75,15.625,0.0,46.875,23809.52380952381,4344.0,44519.0,20.0
1000000.0,1.0,45.0,343.75,296.875,421.875,15.625,0.0,31.25,22222.222222222223,3840.0,38414.0,22.0
1000000.0,1.0,48.0,359.375,312.5,390.625,15.625,0.0,31.25,20833.333333333332,2944.0,33918.0,23.0
1000000.0,1.0,51.0,367.1875,296.875,421.875,15.625,0.0,31.25,19607.843137254902,3616.0,39169.0,23.5
1000000.0,1.0,54.0,375.0,343.75,421.875,15.625,0.0,31.25,18518.51851851852,1827.0,37781.0,24.0
1000000.0,1.0,57.0,390.625,375.0,453.125,15.625,0.0,31.25,17543.859649122805,2613.0,32110.0,25.0
1000000.0,1.0,60.0,406.25,343.75,437.5,15.625,0.0,31.25,16666.666666666668,2443.0,26480.0,26.0
1000000.0,1.0,63.0,421.875,390.625,468.75,15.625,0.0,31.25,15873.015873015873,1758.0,36832.0,27.0
1000000.0,1.0,66.0,453.125,406.25,578.125,15.625,0.0,31.25,15151.515151515152,850.0,27061.0,29.0
1000000.0,1.0,69.0,468.75,421.875,531.25,15.625,0.0,31.25,14492.753623188406,1964.0,27601.0,30.0
1000000.0,1.0,72.0,468.75,437.5,500.0,15.625,0.0,31.25,13888.888888888889,1459.0,27270.0,30.0
1000000.0,1.0,75.0,484.375,406.25,562.5,15.625,0.0,31.25,13333.333333333334,2101.0,21272.0,31.0
1000000.0,1.0,78.0,515.625,468.75,546.875,15.625,0.0,31.25,12820.51282051282,1777.0,25835.0,33.0
1000000.0,1.0,81.0,531.25,468.75,593.75,15.625,0.0,31.25,12345.67901234568,851.0,18057.0,34.0
1000000.0,1.0,84.0,531.25,468.75,593.75,15.625,0.0,31.25,11904.761904761905,1574.0,21671.0,34.0
1000000.0,1.0,87.0,546.875,500.0,578.125,15.625,0.0,31.25,11494.252873563219,1471.0,22636.0,35.0
1000000.0,1.0,90.0,578.125,484.375,671.875,15.625,0.0,46.875,11111.111111111111,761.0,17665.0,37.0
1000000.0,1.0,93.0,593.75,562.5,625.0,15.625,0.0,31.25,10752.68817204301,1071.0,21519.0,38.0
1000000.0,1.0,96.0,609.375,562.5,671.875,15.625,0.0,31.25,10416.666666666666,1418.0,14917.0,39.0
1000000.0,1.0,99.0,625.0,562.5,656.25,15.625,0.0,31.25,10101.0101010101,800.0,16831.0,40.0
1000000.0,3.0,3.0,101.5625,78.125,125.0,31.25,31.25,31.25,333333.3333333333,201852.0,400042.0,3.25
