n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
163065.0,4.0,3.0,15625000.0,0.0,31250000.0,0.0,0.0,15625000.0,54355.0,3906.0,127588.0
163065.0,4.0,4.0,15625000.0,0.0,31250000.0,0.0,0.0,46875000.0,40766.25,1600.0,109473.0
163065.0,4.0,5.0,31250000.0,15625000.0,31250000.0,0.0,0.0,15625000.0,32613.0,881.0,95534.0
163065.0,4.0,6.0,31250000.0,15625000.0,31250000.0,0.0,0.0,15625000.0,27177.5,410.0,85214.0
163065.0,4.0,7.0,31250000.0,0.0,62500000.0,0.0,0.0,15625000.0,23295.0,279.0,73589.0
163065.0,4.0,8.0,31250000.0,15625000.0,46875000.0,0.0,0.0,15625000.0,20383.125,204.0,64444.0
163065.0,4.0,9.0,31250000.0,0.0,62500000.0,0.0,0.0,31250000.0,18118.333333333332,189.0,53712.0
163065.0,4.0,10.0,46875000.0,0.0,109375000.0,0.0,0.0,15625000.0,16306.5,159.0,43971.0
163065.0,4.0,11.0,46875000.0,0.0,78125000.0,0.0,0.0,15625000.0,14824.09090909091,122.0,39122.0
163065.0,4.0,12.0,46875000.0,15625000.0,62500000.0,0.0,0.0,15625000.0,13588.75,120.0,38882.0
163065.0,4.0,13.0,46875000.0,31250000.0,78125000.0,0.0,0.0,15625000.0,12543.461538461539,99.0,36230.0
163065.0,4.0,14.0,46875000.0,31250000.0,78125000.0,0.0,0.0,15625000.0,11647.5,72.0,36831.0
761940.0,6.0,3.0,125000000.0,62500000.0,156250000.0,15625000.0,0.0,46875000.0,253980.0,253979.0,253981.0
761940.0,6.0,4.0,140625000.0,109375000.0,187500000.0,15625000.0,0.0,31250000.0,190485.0,190484.0,190486.0
761940.0,6.0,5.0,156250000.0,109375000.0,187500000.0,15625000.0,0.0,31250000.0,152388.0,152385.0,152391.0
