n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
8192.0,9.0,3.0,0.0,0.0,31.25,0.0,0.0,0.0,2730.6666666666665,2468.0,3061.0
8192.0,9.0,4.0,0.0,0.0,15.625,0.0,0.0,0.0,2048.0,1941.0,2180.0
8192.0,9.0,5.0,0.0,0.0,15.625,0.0,0.0,15.625,1638.4,1608.0,1659.0
8192.0,9.0,6.0,0.0,0.0,15.625,0.0,0.0,15.625,1365.3333333333333,1277.0,1411.0
8192.0,9.0,7.0,0.0,0.0,15.625,0.0,0.0,15.625,1170.2857142857142,1074.0,1281.0
8192.0,9.0,8.0,0.0,0.0,15.625,0.0,0.0,15.625,1024.0,948.0,1104.0
8192.0,9.0,9.0,0.0,0.0,31.25,0.0,0.0,15.625,910.2222222222222,828.0,964.0
8192.0,9.0,10.0,0.0,0.0,31.25,0.0,0.0,15.625,819.2,776.0,888.0
8192.0,9.0,11.0,0.0,0.0,15.625,0.0,0.0,15.625,744.7272727272727,676.0,792.0
8192.0,9.0,12.0,0.0,0.0,15.625,0.0,0.0,15.625,682.6666666666666,623.0,750.0
8192.0,9.0,13.0,0.0,0.0,15.625,0.0,0.0,15.625,630.1538461538462,562.0,665.0
8192.0,9.0,14.0,0.0,0.0,15.625,0.0,0.0,15.625,585.1428571428571,533.0,632.0
8192.0,9.0,15.0,0.0,0.0,15.625,0.0,0.0,0.0,546.1333333333333,509.0,626.0
8192.0,9.0,16.0,0.0,0.0,15.625,0.0,0.0,15.625,512.0,469.0,539.0
8192.0,9.0,17.0,0.0,0.0,31.25,0.0,0.0,15.625,481.88235294117646,441.0,544.0
8192.0,9.0,18.0,0.0,0.0,15.625,0.0,0.0,15.625,455.1111111111111,367.0,508.0
8192.0,9.0,19.0,0.0,0.0,15.625,0.0,0.0,15.625,431.1578947368421,384.0,480.0
8192.0,9.0,20.0,0.0,0.0,15.625,0.0,0.0,0.0,409.6,346.0,484.0
8192.0,9.0,21.0,0.0,0.0,15.625,0.0,0.0,0.0,390.0952380952381,343.0,448.0
8192.0,9.0,22.0,0.0,0.0,46.875,0.0,0.0,0.0,372.3636363636364,326.0,421.0
8192.0,9.0,23.0,0.0,0.0,15.625,0.0,0.0,15.625,356.17391304347825,309.0,425.0
