dataset_id,n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
0.0,761940.0,6.0,3.0,109.375,46.875,140.625,15.625,0.0,31.25,253980.0,253979.0,253981.0
0.0,761940.0,6.0,4.0,125.0,93.75,156.25,15.625,0.0,31.25,190485.0,190484.0,190486.0
0.0,761940.0,6.0,5.0,156.25,93.75,187.5,15.625,15.625,46.875,152388.0,152386.0,152391.0
0.0,761940.0,6.0,6.0,171.875,125.0,203.125,15.625,0.0,46.875,126990.0,126973.0,127007.0
0.0,761940.0,6.0,7.0,171.875,125.0,218.75,15.625,15.625,31.25,108848.57142857143,108402.0,109296.0
0.0,761940.0,6.0,8.0,203.125,140.625,250.0,15.625,0.0,46.875,95242.5,95075.0,95411.0
0.0,761940.0,6.0,9.0,203.125,156.25,265.625,15.625,0.0,46.875,84660.0,82261.0,87059.0
0.0,761940.0,6.0,10.0,218.75,171.875,250.0,15.625,0.0,46.875,76194.0,72968.0,79420.0
0.0,761940.0,6.0,11.0,234.375,203.125,296.875,15.625,15.625,46.875,69267.27272727272,60588.0,77964.0
0.0,761940.0,6.0,12.0,250.0,218.75,328.125,15.625,15.625,46.875,63495.0,58932.0,68082.0
0.0,761940.0,6.0,13.0,265.625,250.0,312.5,15.625,15.625,46.875,58610.769230769234,56164.0,60940.0
0.0,761940.0,6.0,14.0,296.875,250.0,328.125,15.625,15.625,31.25,54424.28571428572,52944.0,55845.0
1.0,104820.0,7.0,3.0,15.625,0.0,15.625,0.0,0.0,15.625,34940.0,66.0,67565.0
1.0,104820.0,7.0,4.0,15.625,0.0,62.5,0.0,0.0,15.625,26205.0,66.0,104214.0
1.0,104820.0,7.0,5.0,15.625,0.0,62.5,0.0,0.0,15.625,20964.0,66.0,67862.0
1.0,104820.0,7.0,6.0,15.625,0.0,78.125,0.0,0.0,15.625,17470.0,66.0,44120.0
1.0,104820.0,7.0,7.0,31.25,0.0,46.875,0.0,0.0,46.875,14974.285714285714,66.0,43807.0
1.0,104820.0,7.0,8.0,31.25,0.0,62.5,0.0,0.0,0.0,13102.5,66.0,43807.0
1.0,104820.0,7.0,9.0,31.25,0.0,46.875,0.0,0.0,15.625,11646.666666666666,66.0,43703.0
1.0,104820.0,7.0,10.0,31.25,0.0,62.5,0.0,0.0,15.625,10482.0,66.0,30559.0
1.0,104820.0,7.0,11.0,31.25,0.0,78.125,0.0,0.0,15.625,9529.09090909091,66.0,36169.0
1.0,104820.0,7.0,12.0,31.25,0.0,78.125,0.0,0.0,15.625,8735.0,66.0,23040.0
1.0,104820.0,7.0,13.0,46.875,0.0,78.125,0.0,0.0,15.625,8063.076923076923,66.0,23157.0
1.0,104820.0,7.0,14.0,46.875,0.0,78.125,0.0,0.0,0.0,7487.142857142857,66.0,23157.0
