n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size,ratio_AB_median
10000.0,20.0,3.0,0.0,0.0,15.625,0.0,0.0,0.0,3333.333333333333,1934.0,5014.0,
10000.0,20.0,6.0,15.625,0.0,15.625,0.0,0.0,0.0,1666.6666666666667,989.0,3966.0,inf
10000.0,20.0,9.0,0.0,0.0,15.625,0.0,0.0,15.625,1111.111111111111,950.0,2007.0,
10000.0,20.0,12.0,15.625,0.0,46.875,0.0,0.0,15.625,833.3333333333334,465.0,2007.0,inf
10000.0,20.0,15.0,15.625,0.0,31.25,0.0,0.0,15.625,666.6666666666666,0.0,10000.0,inf
10000.0,20.0,18.0,15.625,15.625,62.5,0.0,0.0,15.625,555.5555555555555,0.0,10000.0,inf
10000.0,20.0,21.0,15.625,15.625,31.25,0.0,0.0,15.625,476.1904761904762,226.0,1025.0,inf
10000.0,20.0,24.0,31.25,15.625,31.25,0.0,0.0,15.625,416.6666666666667,171.0,1038.0,inf
10000.0,20.0,27.0,31.25,15.625,46.875,0.0,0.0,15.625,370.3703703703704,245.0,544.0,inf
10000.0,20.0,30.0,31.25,15.625,46.875,0.0,0.0,15.625,333.3333333333333,0.0,10000.0,inf
10000.0,20.0,33.0,31.25,0.0,62.5,0.0,0.0,31.25,303.030303030303,151.0,1038.0,inf
10000.0,20.0,36.0,31.25,15.625,78.125,0.0,0.0,15.625,277.77777777777777,111.0,530.0,inf
10000.0,20.0,39.0,31.25,15.625,78.125,0.0,0.0,31.25,256.4102564102564,1.0,1025.0,inf
10000.0,20.0,42.0,31.25,15.625,62.5,0.0,0.0,31.25,238.0952380952381,125.0,519.0,inf
10000.0,20.0,45.0,31.25,31.25,62.5,0.0,0.0,15.625,222.22222222222223,101.0,513.0,inf
10000.0,20.0,48.0,39.0625,31.25,62.5,0.0,0.0,15.625,208.3333333333333,86.0,489.0,inf
10000.0,20.0,51.0,46.875,31.25,62.5,0.0,0.0,15.625,196.07843137254903,102.0,950.0,inf
10000.0,20.0,54.0,46.875,15.625,93.75,0.0,0.0,15.625,185.1851851851852,96.0,548.0,inf
10000.0,20.0,57.0,46.875,31.25,78.125,0.0,0.0,15.625,175.43859649122808,0.0,10000.0,inf
10000.0,20.0,60.0,46.875,46.875,78.125,0.0,0.0,0.0,166.66666666666666,81.0,514.0,inf
10000.0,20.0,63.0,46.875,31.25,78.125,0.0,0.0,15.625,158.7301587301587,99.0,271.0,inf
10000.0,20.0,66.0,46.875,46.875,78.125,0.0,0.0,15.625,151.5151515151515,74.0,262.0,inf
10000.0,20.0,69.0,46.875,46.875,78.125,0.0,0.0,15.625,144.92753623188406,55.0,272.0,inf
10000.0,20.0,72.0,62.5,31.25,78.125,0.0,0.0,15.625,138.88888888888889,63.0,349.0,inf
10000.0,20.0,75.0,62.5,46.875,78.125,0.0,0.0,15.625,133.33333333333334,75.0,366.0,inf
10000.0,20.0,78.0,62.5,46.875,78.125,0.0,0.0,15.625,128.2051282051282,65.0,506.0,inf
10000.0,20.0,81.0,62.5,46.875,78.125,0.0,0.0,15.625,123.45679012345678,62.0,221.0,inf
10000.0,20.0,84.0,62.5,46.875,93.75,0.0,0.0,15.625,119.04761904761904,29.0,276.0,inf
10000.0,20.0,87.0,62.5,62.5,93.75,0.0,0.0,15.625,114.94252873563218,47.0,221.0,inf
10000.0,20.0,90.0,62.5,62.5,125.0,0.0,0.0,15.625,111.11111111111111,44.0,275.0,inf
10000.0,20.0,93.0,78.125,62.5,109.375,0.0,0.0,15.625,107.52688172043013,43.0,277.0,inf
10000.0,20.0,96.0,78.125,62.5,109.375,0.0,0.0,15.625,104.16666666666669,1.0,331.0,inf
10000.0,20.0,99.0,78.125,46.875,109.375,0.0,0.0,31.25,101.010101010101,6.0,222.0,inf
110000.0,20.0,3.0,62.5,31.25,62.5,31.25,31.25,31.25,36666.66666666666,11039.0,76947.0,2.0
110000.0,20.0,6.0,93.75,78.125,109.375,15.625,15.625,46.875,18333.33333333333,10873.0,22178.0,6.0
110000.0,20.0,9.0,109.375,93.75,125.0,15.625,15.625,15.625,12222.222222222224,10873.0,22001.0,7.0
110000.0,20.0,12.0,140.625,125.0,171.875,31.25,0.0,62.5,9166.666666666666,0.0,110000.0,4.5
110000.0,20.0,15.0,171.875,156.25,218.75,15.625,15.625,46.875,7333.333333333333,3576.0,22178.0,11.0
110000.0,20.0,18.0,203.125,187.5,265.625,15.625,0.0,46.875,6111.111111111111,3584.0,11237.0,13.0
110000.0,20.0,21.0,234.375,203.125,265.625,15.625,15.625,46.875,5238.095238095239,3576.0,11007.0,15.0
110000.0,20.0,24.0,250.0,234.375,296.875,15.625,0.0,46.875,4583.333333333333,2599.0,11237.0,16.0
110000.0,20.0,27.0,281.25,250.0,312.5,31.25,15.625,46.875,4074.074074074074,0.0,110000.0,9.0
110000.0,20.0,30.0,312.5,281.25,328.125,15.625,0.0,46.875,3666.6666666666665,2120.0,11007.0,20.0
110000.0,20.0,33.0,328.125,312.5,375.0,15.625,15.625,31.25,3333.333333333333,1526.0,10873.0,21.0
110000.0,20.0,36.0,343.75,328.125,390.625,31.25,15.625,46.875,3055.555555555556,0.0,110000.0,11.0
110000.0,20.0,39.0,375.0,328.125,437.5,15.625,15.625,46.875,2820.5128205128203,1757.0,10971.0,24.0
110000.0,20.0,42.0,390.625,343.75,453.125,15.625,15.625,31.25,2619.04761904762,1785.0,5582.0,25.0
110000.0,20.0,45.0,421.875,390.625,484.375,15.625,15.625,46.875,2444.4444444444443,1448.0,11020.0,27.0
110000.0,20.0,48.0,437.5,406.25,531.25,15.625,0.0,46.875,2291.6666666666665,1061.0,5534.0,28.0
110000.0,20.0,51.0,468.75,437.5,546.875,15.625,15.625,46.875,2156.86274509804,1289.0,5565.0,30.0
110000.0,20.0,54.0,484.375,406.25,578.125,15.625,15.625,46.875,2037.037037037037,1150.0,3780.0,31.0
110000.0,20.0,57.0,515.625,484.375,640.625,15.625,0.0,62.5,1929.8245614035088,1171.0,5638.0,33.0
110000.0,20.0,60.0,531.25,500.0,671.875,15.625,0.0,46.875,1833.3333333333333,1019.0,3772.0,34.0
110000.0,20.0,63.0,562.5,531.25,656.25,15.625,0.0,62.5,1746.031746031746,768.0,3774.0,36.0
110000.0,20.0,66.0,578.125,515.625,718.75,15.625,0.0,62.5,1666.6666666666667,1044.0,5577.0,37.0
110000.0,20.0,69.0,609.375,578.125,750.0,15.625,0.0,62.5,1594.2028985507247,1051.0,2848.0,39.0
110000.0,20.0,72.0,625.0,578.125,765.625,15.625,15.625,62.5,1527.7777777777778,812.0,2291.0,40.0
110000.0,20.0,75.0,656.25,625.0,796.875,15.625,15.625,46.875,1466.6666666666667,662.0,2850.0,42.0
110000.0,20.0,78.0,671.875,625.0,828.125,15.625,15.625,46.875,1410.2564102564102,960.0,3703.0,43.0
110000.0,20.0,81.0,703.125,671.875,875.0,15.625,15.625,46.875,1358.0246913580247,730.0,3767.0,45.0
110000.0,20.0,84.0,718.75,609.375,906.25,15.625,15.625,46.875,1309.5238095238096,750.0,2813.0,46.0
110000.0,20.0,87.0,750.0,718.75,953.125,15.625,0.0,62.5,1264.367816091954,943.0,2275.0,48.0
110000.0,20.0,90.0,765.625,703.125,953.125,15.625,15.625,62.5,1222.2222222222222,694.0,2814.0,49.0
110000.0,20.0,93.0,812.5,765.625,1000.0,15.625,15.625,46.875,1182.7956989247311,748.0,1876.0,52.0
110000.0,20.0,96.0,812.5,765.625,1031.25,15.625,0.0,62.5,1145.8333333333333,718.0,3803.0,52.0
110000.0,20.0,99.0,859.375,812.5,1062.5,15.625,15.625,46.875,1111.111111111111,719.0,2291.0,55.0
210000.0,20.0,3.0,140.625,93.75,171.875,54.6875,46.875,62.5,70000.0,20957.0,146781.0,2.5714285714285716
210000.0,20.0,6.0,187.5,125.0,203.125,46.875,46.875,78.125,35000.0,20803.0,83748.0,4.0
210000.0,20.0,9.0,218.75,187.5,265.625,54.6875,46.875,78.125,23333.33333333333,10441.0,42206.0,4.0
210000.0,20.0,12.0,265.625,187.5,296.875,62.5,31.25,78.125,17500.0,10052.0,42047.0,4.25
210000.0,20.0,15.0,312.5,250.0,343.75,46.875,15.625,78.125,14000.0,6937.0,21459.0,6.666666666666667
210000.0,20.0,18.0,390.625,343.75,421.875,62.5,46.875,93.75,11666.666666666666,0.0,210000.0,6.25
210000.0,20.0,21.0,437.5,406.25,468.75,62.5,46.875,93.75,10000.0,0.0,210000.0,7.0
210000.0,20.0,24.0,484.375,468.75,531.25,46.875,46.875,78.125,8750.0,5134.0,21074.0,10.333333333333334
210000.0,20.0,27.0,546.875,500.0,625.0,62.5,46.875,93.75,7777.777777777777,0.0,210000.0,8.75
210000.0,20.0,30.0,562.5,531.25,609.375,78.125,46.875,93.75,7000.0,3458.0,21074.0,7.2
210000.0,20.0,33.0,625.0,578.125,671.875,78.125,46.875,93.75,6363.636363636364,4192.0,21074.0,8.0
210000.0,20.0,36.0,656.25,453.125,843.75,78.125,0.0,125.0,5833.333333333333,2502.0,21132.0,8.4
210000.0,20.0,39.0,703.125,671.875,812.5,78.125,46.875,109.375,5384.615384615385,2905.0,10783.0,9.0
210000.0,20.0,42.0,734.375,562.5,828.125,78.125,46.875,93.75,5000.0,2062.0,20745.0,9.4
210000.0,20.0,45.0,796.875,750.0,906.25,78.125,46.875,109.375,4666.666666666667,2921.0,10829.0,10.2
210000.0,20.0,48.0,812.5,687.5,1000.0,78.125,46.875,109.375,4375.0,2540.0,21132.0,10.4
210000.0,20.0,51.0,875.0,843.75,1078.125,78.125,46.875,93.75,4117.64705882353,1810.0,21459.0,11.2
210000.0,20.0,54.0,906.25,859.375,1078.125,78.125,46.875,93.75,3888.8888888888887,2875.0,7165.0,11.6
210000.0,20.0,57.0,968.75,921.875,1171.875,78.125,62.5,93.75,3684.2105263157896,1739.0,7138.0,12.4
210000.0,20.0,60.0,984.375,953.125,1234.375,78.125,46.875,93.75,3500.0,2279.0,4470.0,12.6
210000.0,20.0,63.0,1062.5,921.875,1296.875,78.125,46.875,93.75,3333.333333333333,1659.0,10550.0,13.6
210000.0,20.0,66.0,1078.125,1062.5,1406.25,78.125,46.875,93.75,3181.818181818182,2056.0,10496.0,13.8
210000.0,20.0,69.0,1140.625,1062.5,1406.25,78.125,46.875,93.75,3043.478260869565,1707.0,7131.0,14.6
210000.0,20.0,72.0,1156.25,1046.875,1468.75,78.125,46.875,93.75,2916.6666666666665,1831.0,7137.0,14.8
210000.0,20.0,75.0,1218.75,1171.875,1515.625,78.125,62.5,93.75,2800.0,1788.0,10497.0,15.6
210000.0,20.0,78.0,1250.0,1171.875,1578.125,78.125,46.875,93.75,2692.3076923076924,1596.0,5516.0,16.0
210000.0,20.0,81.0,1312.5,1203.125,1640.625,78.125,46.875,93.75,2592.5925925925926,1585.0,3600.0,16.8
210000.0,20.0,84.0,1328.125,1265.625,1718.75,78.125,46.875,93.75,2500.0,1656.0,4342.0,17.0
210000.0,20.0,87.0,1406.25,1359.375,1781.25,78.125,46.875,93.75,2413.793103448276,1432.0,5385.0,18.0
210000.0,20.0,90.0,1429.6875,1359.375,1812.5,78.125,46.875,93.75,2333.333333333333,1429.0,4252.0,18.3
210000.0,20.0,93.0,1500.0,1468.75,1890.625,78.125,46.875,93.75,2258.064516129032,1418.0,5280.0,19.2
210000.0,20.0,96.0,1500.0,1437.5,1953.125,78.125,46.875,109.375,2187.5,1467.0,7137.0,19.2
210000.0,20.0,99.0,1593.75,1531.25,2031.25,78.125,46.875,93.75,2121.212121212121,1179.0,3686.0,20.4
310000.0,20.0,3.0,203.125,93.75,234.375,93.75,62.5,109.375,103333.33333333331,15358.0,278976.0,2.1666666666666665
310000.0,20.0,6.0,273.4375,187.5,281.25,85.9375,78.125,109.375,51666.66666666666,30876.0,62310.0,3.1818181818181817
310000.0,20.0,9.0,343.75,265.625,359.375,78.125,62.5,109.375,34444.444444444445,10324.0,154969.0,4.4
310000.0,20.0,12.0,375.0,328.125,437.5,109.375,93.75,140.625,25833.33333333333,0.0,310000.0,3.4285714285714284
310000.0,20.0,15.0,453.125,437.5,500.0,109.375,78.125,125.0,20666.666666666668,0.0,310000.0,4.142857142857143
310000.0,20.0,18.0,578.125,562.5,609.375,109.375,78.125,125.0,17222.222222222223,7699.0,61733.0,5.285714285714286
310000.0,20.0,21.0,656.25,609.375,687.5,93.75,78.125,125.0,14761.90476190476,6102.0,31166.0,7.0
310000.0,20.0,24.0,703.125,687.5,734.375,109.375,78.125,109.375,12916.666666666666,5052.0,31144.0,6.428571428571429
310000.0,20.0,27.0,781.25,734.375,828.125,109.375,93.75,140.625,11481.481481481482,0.0,310000.0,7.142857142857143
310000.0,20.0,30.0,828.125,796.875,921.875,109.375,93.75,125.0,10333.333333333334,0.0,310000.0,7.571428571428571
310000.0,20.0,33.0,921.875,859.375,1015.625,93.75,78.125,125.0,9393.939393939394,5058.0,15740.0,9.833333333333334
310000.0,20.0,36.0,968.75,937.5,1078.125,93.75,78.125,109.375,8611.111111111111,5121.0,31018.0,10.333333333333334
310000.0,20.0,39.0,1046.875,906.25,1187.5,93.75,78.125,125.0,7948.717948717948,5046.0,15724.0,11.166666666666666
310000.0,20.0,42.0,1093.75,1062.5,1265.625,93.75,62.5,125.0,7380.952380952381,4227.0,31362.0,11.666666666666666
310000.0,20.0,45.0,1171.875,984.375,1312.5,93.75,78.125,125.0,6888.888888888889,4323.0,30876.0,12.5
310000.0,20.0,48.0,1203.125,1171.875,1453.125,93.75,78.125,125.0,6458.333333333333,3314.0,31166.0,12.833333333333334
310000.0,20.0,51.0,1296.875,1250.0,1531.25,93.75,78.125,125.0,6078.431372549019,2624.0,31362.0,13.833333333333334
310000.0,20.0,54.0,1343.75,1281.25,1625.0,93.75,78.125,125.0,5740.740740740741,3357.0,10566.0,14.333333333333334
310000.0,20.0,57.0,1421.875,1343.75,1640.625,93.75,78.125,140.625,5438.596491228071,3312.0,15498.0,15.166666666666666
310000.0,20.0,60.0,1468.75,1406.25,1812.5,93.75,78.125,125.0,5166.666666666667,3359.0,7981.0,15.666666666666666
310000.0,20.0,63.0,1531.25,1484.375,1890.625,109.375,78.125,125.0,4920.6349206349205,0.0,310000.0,14.0
310000.0,20.0,66.0,1593.75,1453.125,2031.25,93.75,62.5,109.375,4696.969696969697,3061.0,15553.0,17.0
310000.0,20.0,69.0,1687.5,1578.125,2078.125,93.75,78.125,109.375,4492.753623188406,2501.0,10442.0,18.0
310000.0,20.0,72.0,1718.75,1625.0,2171.875,93.75,78.125,125.0,4305.555555555556,2503.0,10409.0,18.333333333333332
310000.0,20.0,75.0,1812.5,1718.75,2250.0,93.75,78.125,125.0,4133.333333333333,2087.0,10498.0,19.333333333333332
310000.0,20.0,78.0,1843.75,1703.125,2343.75,93.75,78.125,109.375,3974.358974358974,2539.0,7875.0,19.666666666666668
310000.0,20.0,81.0,1937.5,1890.625,2578.125,109.375,78.125,125.0,3827.16049382716,2113.0,7931.0,17.714285714285715
310000.0,20.0,84.0,1953.125,1906.25,2531.25,109.375,78.125,125.0,3690.4761904761904,2027.0,7882.0,17.857142857142858
310000.0,20.0,87.0,2078.125,1984.375,2625.0,109.375,78.125,125.0,3563.2183908045977,2139.0,6360.0,19.0
