n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
610000.0,20.0,66.0,2570.3125,2453.125,5234.375,171.875,109.375,218.75,9242.424242424242,5297.0,30734.0
610000.0,20.0,69.0,2671.875,2562.5,3468.75,187.5,109.375,203.125,8840.579710144928,4936.0,20398.0
610000.0,20.0,72.0,2734.375,2609.375,3593.75,203.125,109.375,218.75,8472.222222222223,5374.0,20571.0
610000.0,20.0,75.0,2875.0,2781.25,3828.125,203.125,109.375,250.0,8133.333333333333,4954.0,30737.0
610000.0,20.0,78.0,2921.875,2656.25,3906.25,203.125,109.375,234.375,7820.51282051282,4497.0,12409.0
610000.0,20.0,81.0,3078.125,2953.125,4125.0,218.75,109.375,250.0,7530.864197530864,4552.0,30841.0
610000.0,20.0,84.0,3140.625,3015.625,4218.75,218.75,93.75,250.0,7261.9047619047615,3947.0,12356.0
610000.0,20.0,87.0,3281.25,3093.75,4718.75,234.375,109.375,265.625,7011.494252873563,4593.0,12398.0
610000.0,20.0,90.0,3312.5,3218.75,4546.875,234.375,109.375,265.625,6777.777777777777,3733.0,20767.0
610000.0,20.0,93.0,3515.625,3281.25,4750.0,250.0,109.375,281.25,6559.139784946236,4231.0,10303.0
610000.0,20.0,96.0,3593.75,3250.0,4875.0,250.0,109.375,281.25,6354.166666666667,4967.0,8929.0
610000.0,20.0,99.0,3765.625,3593.75,4984.375,250.0,109.375,281.25,6161.616161616162,4234.0,12576.0
710000.0,20.0,66.0,2960.9375,2890.625,3531.25,281.25,140.625,296.875,10757.575757575758,6296.0,35704.0
710000.0,20.0,69.0,3125.0,2843.75,4109.375,281.25,140.625,296.875,10289.855072463768,5751.0,23970.0
710000.0,20.0,72.0,3125.0,2687.5,4156.25,281.25,125.0,296.875,9861.111111111111,7715.0,23817.0
710000.0,20.0,75.0,3312.5,3171.875,4437.5,265.625,125.0,328.125,9466.666666666666,7632.0,11937.0
710000.0,20.0,78.0,3359.375,3078.125,4578.125,281.25,125.0,296.875,9102.564102564103,5293.0,17886.0
710000.0,20.0,81.0,3546.875,3390.625,4703.125,281.25,125.0,296.875,8765.432098765432,5216.0,14443.0
710000.0,20.0,84.0,3750.0,3578.125,5000.0,265.625,125.0,296.875,8452.380952380952,4359.0,23753.0
710000.0,20.0,87.0,3875.0,3671.875,5203.125,281.25,125.0,328.125,8160.919540229885,4904.0,11994.0
710000.0,20.0,90.0,3921.875,3765.625,5234.375,296.875,125.0,312.5,7888.888888888889,5383.0,14400.0
710000.0,20.0,93.0,4046.875,3843.75,5750.0,312.5,140.625,343.75,7634.408602150537,5283.0,14420.0
710000.0,20.0,96.0,4093.75,3796.875,6968.75,312.5,125.0,437.5,7395.833333333333,5333.0,14419.0
710000.0,20.0,99.0,4312.5,4046.875,5781.25,328.125,125.0,343.75,7171.717171717171,5240.0,14287.0
810000.0,20.0,66.0,3312.5,2937.5,3937.5,343.75,156.25,390.625,12272.727272727272,7908.0,40694.0
810000.0,20.0,69.0,3500.0,3421.875,4500.0,343.75,156.25,359.375,11739.130434782608,8005.0,20483.0
810000.0,20.0,72.0,3562.5,3484.375,4625.0,343.75,140.625,359.375,11250.0,7956.0,27345.0
810000.0,20.0,75.0,3796.875,3656.25,4875.0,203.125,140.625,359.375,10800.0,6071.0,40542.0
810000.0,20.0,78.0,3859.375,3750.0,5140.625,343.75,156.25,359.375,10384.615384615385,6120.0,16452.0
810000.0,20.0,81.0,4046.875,3921.875,5312.5,343.75,156.25,359.375,10000.0,6645.0,27152.0
810000.0,20.0,84.0,4125.0,3890.625,5562.5,343.75,156.25,359.375,9642.857142857143,6091.0,13685.0
810000.0,20.0,87.0,4343.75,4156.25,5781.25,343.75,156.25,375.0,9310.344827586207,3918.0,13931.0
810000.0,20.0,90.0,4406.25,4250.0,6109.375,359.375,156.25,421.875,9000.0,5671.0,20456.0
810000.0,20.0,93.0,4609.375,4515.625,6609.375,375.0,156.25,390.625,8709.677419354839,5227.0,13618.0
810000.0,20.0,96.0,5265.625,4437.5,7062.5,390.625,156.25,406.25,8437.5,6010.0,11767.0
810000.0,20.0,99.0,5625.0,5437.5,8250.0,382.8125,125.0,437.5,8181.818181818182,4166.0,20491.0
910000.0,20.0,66.0,4218.75,4093.75,4984.375,406.25,187.5,437.5,13787.878787878788,6809.0,30596.0
910000.0,20.0,69.0,4468.75,4281.25,5640.625,390.625,187.5,421.875,13188.40579710145,8950.0,23250.0
910000.0,20.0,72.0,4484.375,4328.125,5734.375,359.375,171.875,375.0,12638.888888888889,8098.0,91154.0
910000.0,20.0,75.0,4859.375,4656.25,6015.625,359.375,187.5,406.25,12133.333333333334,8077.0,18342.0
910000.0,20.0,78.0,4890.625,4765.625,6468.75,375.0,187.5,406.25,11666.666666666666,7346.0,45559.0
910000.0,20.0,81.0,5289.0625,5015.625,6531.25,390.625,156.25,421.875,11234.567901234568,7410.0,22940.0
910000.0,20.0,84.0,5265.625,4640.625,7531.25,320.3125,171.875,437.5,10833.333333333334,5539.0,23021.0
910000.0,20.0,87.0,5562.5,4828.125,8937.5,421.875,187.5,437.5,10459.770114942528,7468.0,18294.0
