n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size
7329.0,17.0,4.0,0.003582300963225188,0.002554178237915039,0.006036520004272461,0.0004814907356544777,0.0,0.001600027084350586,1832.25,526.0,3249.0
14659.0,17.0,4.0,0.0067950630187988284,0.0035905838012695312,0.009512662887573242,0.0006832408905029296,0.0,0.0015642642974853516,3664.75,1662.0,5545.0
21989.0,17.0,4.0,0.009094629968915666,0.005586862564086914,0.009595632553100586,0.000716022082737514,0.0,0.0010101795196533203,5497.25,2624.0,8304.0
29319.0,17.0,4.0,0.01255936622619629,0.00750732421875,0.020064592361450195,0.0011810016632080077,0.0,0.003542184829711914,7329.75,2189.0,12463.0
36648.0,17.0,4.0,0.01633904720174855,0.007609844207763672,0.019775867462158203,0.0014535229781578328,0.0005536079406738281,0.0020437240600585938,9162.0,2773.0,15588.0
43978.0,17.0,4.0,0.019727438688278198,0.010230302810668945,0.032079219818115234,0.0018885135650634766,0.0009706020355224609,0.004523038864135742,10994.5,3329.0,18521.0
51308.0,17.0,4.0,0.022689721163581398,0.013748645782470703,0.030144453048706055,0.0018590127720552333,0.0009958744049072266,0.0025992393493652344,12827.0,3879.0,21694.0
58638.0,17.0,4.0,0.02647633986039595,0.01261758804321289,0.03964972496032715,0.002422354438088157,0.0019996166229248047,0.005013465881347656,14659.5,4462.0,24983.0
65967.0,17.0,4.0,0.02839412814692447,0.014020204544067383,0.04812884330749512,0.002357131556460732,0.0015087127685546875,0.0059967041015625,16491.75,5025.0,28123.0
73297.0,17.0,4.0,0.03233763665863962,0.015198707580566406,0.061659812927246094,0.002603400837291371,0.0015594959259033203,0.004995107650756836,18324.25,5587.0,31250.0
80627.0,17.0,4.0,0.03537829717000326,0.018024921417236328,0.06413960456848145,0.003043162517058544,0.0019996166229248047,0.007942676544189453,20156.75,6239.0,34472.0
87957.0,17.0,4.0,0.037285316281202366,0.019025564193725586,0.05502128601074219,0.0030509262550167922,0.0019960403442382812,0.007523775100708008,21989.25,6850.0,37481.0
95287.0,17.0,4.0,0.040693235397338864,0.02115797996520996,0.058092355728149414,0.0036511761801583426,0.002572298049926758,0.010106086730957031,23821.75,7395.0,40840.0
102616.0,17.0,4.0,0.04433561015773464,0.022024869918823242,0.0681908130645752,0.0034799253618395007,0.002911806106567383,0.004955291748046875,25654.0,7937.0,44010.0
109946.0,17.0,4.0,0.04707977248401177,0.02439260482788086,0.07361268997192383,0.003580983092145222,0.002910614013671875,0.005999565124511719,27486.5,8510.0,47180.0
117276.0,17.0,4.0,0.04820617607661656,0.025529861450195312,0.05155348777770996,0.004281401634216309,0.003909111022949219,0.004999399185180664,29319.0,4922.0,50714.0
124606.0,17.0,4.0,0.053721294846645624,0.02702784538269043,0.07860827445983887,0.004217813181322675,0.003000497817993164,0.005512714385986328,31151.5,9623.0,53494.0
131935.0,17.0,4.0,0.056949442625045775,0.028533935546875,0.08259773254394531,0.004386454820632935,0.003512859344482422,0.0055084228515625,32983.75,10220.0,56813.0
139265.0,17.0,4.0,0.06116679310798645,0.031055212020874023,0.09570884704589844,0.004632174968719482,0.003604412078857422,0.006008148193359375,34816.25,10769.0,60091.0
146595.0,17.0,4.0,0.06298359235127766,0.03255152702331543,0.07966303825378418,0.005249412854512533,0.003922700881958008,0.013514518737792969,36648.75,11301.0,63588.0
153925.0,17.0,4.0,0.06585404607984754,0.03353452682495117,0.0942072868347168,0.005315127196135344,0.004008054733276367,0.009568929672241211,38481.25,11819.0,66949.0
161254.0,17.0,4.0,0.07130516117269342,0.035376787185668945,0.10234785079956055,0.00558957728472623,0.0045087337493896484,0.012513875961303711,40313.5,12428.0,70281.0
168584.0,17.0,4.0,0.07068876119760367,0.0363926887512207,0.07966113090515137,0.006519354306734526,0.005000591278076172,0.015051841735839844,42146.0,12945.0,73357.0
175914.0,17.0,4.0,0.07599520038914036,0.03807401657104492,0.09284353256225586,0.005804216539537585,0.005001068115234375,0.006613016128540039,43978.5,13500.0,76720.0
183244.0,17.0,4.0,0.07937483787536621,0.04038214683532715,0.11083078384399414,0.0058950696672712055,0.004996538162231445,0.007966279983520508,45811.0,14039.0,79934.0
190574.0,17.0,4.0,0.08224985940115792,0.042363882064819336,0.10009169578552246,0.006191410337175642,0.004950284957885742,0.007609128952026367,47643.5,14592.0,83135.0
197903.0,17.0,4.0,0.08484886674319997,0.0505523681640625,0.10317444801330566,0.006747357985552619,0.006052732467651367,0.0076067447662353516,49475.75,8283.0,86587.0
205233.0,17.0,4.0,0.0882529116965629,0.043970584869384766,0.10504627227783203,0.006957498756614891,0.005998373031616211,0.016049861907958984,51308.25,15669.0,89763.0
212563.0,17.0,4.0,0.09226188659667969,0.05708003044128418,0.11937212944030762,0.007706308364868164,0.00655364990234375,0.014028072357177734,53140.75,16238.0,93102.0
219893.0,17.0,4.0,0.09551077229636055,0.04974675178527832,0.12021827697753906,0.00736323424748012,0.006003618240356445,0.010443449020385742,54973.25,16848.0,96329.0
227222.0,17.0,4.0,0.10009094741609362,0.04993796348571777,0.133681058883667,0.007257401943206787,0.00600123405456543,0.008613348007202148,56805.5,17458.0,99691.0
234552.0,17.0,4.0,0.10248093605041504,0.050557613372802734,0.12590265274047852,0.007796180248260498,0.006508350372314453,0.01810145378112793,58638.0,18033.0,102922.0
241882.0,17.0,4.0,0.1044757536479405,0.05253148078918457,0.13240933418273926,0.00806011472429548,0.007574319839477539,0.008609294891357422,60470.5,15823.0,106099.0
249212.0,17.0,4.0,0.1065694358613756,0.05453014373779297,0.12386178970336914,0.00901684496137831,0.007605314254760742,0.021054983139038086,62303.0,19234.0,109241.0
256541.0,17.0,4.0,0.11150624012124949,0.05652904510498047,0.1379246711730957,0.009077047479563746,0.007598400115966797,0.021047115325927734,64135.25,19810.0,112682.0
263871.0,17.0,4.0,0.11923417900547836,0.06625795364379883,0.14884305000305176,0.009772026177608606,0.0074694156646728516,0.02605891227722168,65967.75,20400.0,116215.0
271201.0,17.0,4.0,0.1157636046409607,0.062123775482177734,0.14342856407165527,0.009113768736521402,0.008505821228027344,0.009517192840576172,67800.25,15821.0,119574.0
278531.0,17.0,4.0,0.12177705764770508,0.06307435035705566,0.14148545265197754,0.01007357570860121,0.00751185417175293,0.030588150024414062,69632.75,21595.0,123184.0
