n,d,k,i,steps_vanilla,steps_speculation,steps_pp,subsample_size,seed,inertia_vanilla,inertia_pp,inertia_speculation,inertia_optimal
7619400,5,3,0,3,1,8,0.01,0,688748.8632385718,483286.9895372187,482910.51243060624,482902.8065188498
7619400,5,4,0,10,3,4,0.01,0,464327.2180814811,401807.6610350832,401537.6349151134,401523.8409699579
7619400,5,5,0,9,2,4,0.01,0,399870.6133875425,350230.7594616248,347332.3523266017,347296.7844958591
7619400,5,6,0,12,2,7,0.01,0,335492.8847814489,303071.6771742007,297787.4519444748,297708.17013322824
7619400,5,7,0,12,2,6,0.01,0,284751.9774984914,257917.90285103317,252110.80769168673,252090.59713821491
7619400,5,8,0,19,2,27,0.01,0,240630.9953896349,220701.54392478772,220249.84148077332,220241.46242504564
7619400,5,9,0,9,2,15,0.01,0,209747.385608472,199749.63223740476,199209.38956424975,199185.65206335994
7619400,5,10,0,16,3,21,0.01,0,189278.79135054784,183768.38076843356,183042.60271934536,183016.4950483501
678013,7,3,1,9,2,5,0.01,0,1578850.569489246,1578959.7419164828,1578882.6876426032,1578832.1071125295
678013,7,4,1,16,1,9,0.01,0,704225.1158716034,701686.6235565491,701896.7370255479,701684.5565696417
678013,7,5,1,19,4,2,0.01,0,518609.66628839046,406434.38545441115,406410.53553846653,406408.67637205316
678013,7,6,1,35,1,7,0.01,0,398933.7514575377,239529.60503668635,398884.4076155712,239183.78163742696
678013,7,7,1,26,6,6,0.01,0,369334.86513642664,188796.20552496804,175708.15041385763,170199.6946392353
678013,7,8,1,27,6,2,0.01,0,361158.5662761655,141585.72882673363,133457.99778043636,129470.23049985275
678013,7,9,1,44,4,3,0.01,0,142453.3290888415,104629.13277758435,113257.99007466958,104549.39546291839
678013,7,10,1,42,6,3,0.01,0,139715.43754405357,90723.05627524375,90731.01103789674,83862.06303959391
4603861,9,3,2,9,1,6,0.01,0,887.4197777369645,887.5256356449382,886.4995051484041,886.4993491020865
4603861,9,4,2,14,1,10,0.01,0,677.1529698320782,677.1529698320782,675.6737358202691,675.6567540100336
4603861,9,5,2,14,1,12,0.01,0,576.9770548437547,613.9258297247592,575.8248694302504,575.7729883510694
4603861,9,6,2,21,1,17,0.01,0,491.069367817034,491.21278982680883,489.6925556780761,489.3557171986703
4603861,9,7,2,24,1,8,0.01,0,441.79277534721854,448.05610471650806,440.0875796463623,440.0295729029845
4603861,9,8,2,4,1,6,0.01,0,431.5933608399964,431.36883425760243,400.36420559623053,399.78120483990614
4603861,9,9,2,9,2,9,0.01,0,391.22570275327865,396.6059004008276,363.70999190741543,363.6211035949779
4603861,9,10,2,13,2,9,0.01,0,353.7571370374964,354.15842267368134,334.9160353417451,334.649222980879
581835,10,3,3,4,1,3,0.01,0,528.7842336754278,528.6986197136109,528.7287391907228,528.6856037022702
581835,10,4,3,4,2,3,0.01,0,482.56601767653075,465.7668802370686,465.7540309642134,465.7307406913667
581835,10,5,3,12,3,6,0.01,0,422.1872647809509,424.23587901862055,421.1455563281179,420.98326896372214
581835,10,6,3,8,2,9,0.01,0,384.6332291165429,385.4149150275105,384.0986466537803,383.79009164007584
581835,10,7,3,9,2,7,0.01,0,354.49248392610025,363.02137826961797,354.35452879248095,354.0918447227052
581835,10,8,3,10,4,6,0.01,0,334.2546689405361,340.1813186390396,332.2919702058923,331.88923957442034
581835,10,9,3,10,2,6,0.01,0,312.0566835685511,324.5645541191856,312.15921372439493,311.9328806438418
581835,10,10,3,10,2,14,0.01,0,297.3942165911081,301.1477019681889,297.2706496627544,296.3854183388364
1025010,11,3,4,7,1,9,0.01,0,59.9175910949707,59.91203308105469,59.88921356201172,59.808712005615234
1025010,11,4,4,7,1,4,0.01,0,54.83407211303711,55.463829040527344,54.817108154296875,54.679744720458984
1025010,11,5,4,5,2,4,0.01,0,51.02050018310547,51.097476959228516,50.84333801269531,50.77546310424805
1025010,11,6,4,5,1,4,0.01,0,47.717559814453125,47.706993103027344,47.681373596191406,47.56737518310547
1025010,11,7,4,5,2,7,0.01,0,45.40857696533203,45.372406005859375,45.060546875,44.99300003051758
1025010,11,8,4,8,3,6,0.01,0,42.976539611816406,42.87627029418945,42.54916763305664,42.47050857543945
1025010,11,9,4,8,2,14,0.01,0,40.613441467285156,40.5926628112793,40.422332763671875,40.32939910888672
1025010,11,10,4,16,2,11,0.01,0,38.433349609375,38.540740966796875,38.35007858276367,38.30112838745117
531441,12,3,5,3,1,6,0.01,0,740.7239043280047,755.3155013409315,740.5313082190268,740.450712671823
531441,12,4,5,10,1,4,0.01,0,485.48057572568445,485.5366117101783,483.9853968801002,483.9571954823247
531441,12,5,5,5,1,8,0.01,0,380.20133432985995,380.354812458535,380.1910376763228,380.1767111499461
531441,12,6,5,7,2,5,0.01,0,346.2889374549261,348.0916644575406,325.93400982963897,325.8863545484684
531441,12,7,5,11,3,17,0.01,0,298.27759533099544,293.7443987076158,293.1945469506731,293.0841442572327
531441,12,8,5,14,2,5,0.01,0,269.48430034860775,279.6172890158488,268.5073628984659,268.3810532816176
531441,12,9,5,15,4,5,0.01,0,256.18521743385753,256.2242274956367,245.44526196384055,245.28119536868365
531441,12,10,5,7,5,5,0.01,0,245.53089229937316,237.5518077743649,222.82550170206474,222.73740573991674
1000000,13,3,6,7,1,5,0.01,0,86074532469.7986,86030446187.58366,86034449634.32224,86026722467.61559
1000000,13,4,6,9,1,7,0.01,0,76359354581.35725,76218124154.36235,76204930718.93195,59386278011.38199
1000000,13,5,6,10,1,7,0.01,0,51021352352.50333,51014313892.303795,50992898890.226524,50992285156.57691
1000000,13,6,6,10,1,6,0.01,0,44820482138.36522,44810770158.72472,44809906310.88186,44805344712.877594
1000000,13,7,6,10,1,5,0.01,0,39378131321.41771,41731498522.02076,39377640053.70991,39371659051.91579
1000000,13,8,6,10,5,7,0.01,0,37003775869.86422,36170849227.43383,35547797523.42811,35546949569.88335
1000000,13,9,6,7,3,7,0.01,0,33220072672.639034,33049139997.830364,32792552680.68365,32418417438.201412
1000000,13,10,6,7,3,4,0.01,0,30547404459.02611,30237244135.717525,30200612338.564304,29727081936.7705
1000000,16,3,7,8,1,4,0.01,0,4156765.440240709,4156658.4402223146,4155652.1784745636,4155609.7716619624
1000000,16,4,7,11,1,3,0.01,0,3090678.2840925357,3124154.223862537,3086210.105811141,2898137.4812943316
