dataset_type,n,d,k,i,steps_vanilla,steps_speculation,steps_pp,subsample_size,seed,inertia_vanilla,inertia_pp,inertia_speculation,inertia_optimal
S,5000,2,3,0,3,3,3,0.01,0,43495708857.90676,43311290541.04668,43495708857.90676,42701731218.68839
S,5000,2,4,0,5,5,12,0.01,0,28999621014.81999,27650254901.648438,28999621014.81999,27650142598.63077
S,5000,2,5,0,2,2,5,0.01,0,23886699341.37614,22644964799.89867,23886699341.37614,20987083019.273552
S,5000,2,6,0,3,3,3,0.01,0,19578833707.188873,15953887570.422907,19578833707.188873,15953803002.326366
S,5000,2,7,0,3,7,6,0.01,0,18406225765.509937,12756211377.233494,12873847928.868979,12715342779.709454
S,5000,2,8,0,4,4,2,0.01,0,11601314647.805313,9629541980.596226,9753022524.855112,9629384925.90429
S,5000,2,9,0,4,3,2,0.01,0,10076707155.972506,8085616362.313337,8475274972.571844,8085446513.607294
S,5000,2,10,0,4,4,2,0.01,0,7495299988.388469,6989417676.375132,7495299988.388469,6878259345.757834
S,5000,2,3,1,7,3,2,0.01,0,36799683315.56624,36799778569.84966,36798967635.836975,36528615554.95657
S,5000,2,4,1,9,6,5,0.01,0,25882855293.59084,23959874106.412693,23958235658.11012,23958075249.41417
S,5000,2,5,1,7,10,6,0.01,0,20885693062.723118,19434320850.746506,19436328783.539867,19433493171.74213
S,5000,2,6,1,6,6,7,0.01,0,16557690914.2204,16602911091.664288,16557690914.2204,15873383544.267887
S,5000,2,7,1,8,8,4,0.01,0,13879350931.45894,13885227245.178974,13879350931.45894,13155081040.208672
S,5000,2,8,1,14,14,5,0.01,0,11994205429.724525,12272643618.791634,11994205429.724525,10768150493.975258
S,5000,2,9,1,14,12,4,0.01,0,11187493010.962568,9613894906.862066,9278261578.94396,9009574412.672777
S,5000,2,10,1,14,9,8,0.01,0,9965745586.876846,7537471512.961072,8996717168.948034,7486814018.062595
S,5000,2,3,2,4,4,6,0.01,0,27926175261.948112,27931311998.253696,27926175261.948112,27922949927.92954
S,5000,2,4,2,11,6,3,0.01,0,18780718812.198044,18360587515.595955,18782488054.11327,18354325225.716507
S,5000,2,5,2,7,5,4,0.01,0,15896757975.10766,15016391077.564194,15419621468.43701,15010822691.02121
S,5000,2,6,2,7,5,4,0.01,0,13141930748.652855,12982211514.751787,12612014190.070951,12280376275.058119
S,5000,2,7,2,17,17,5,0.01,0,10810536122.725904,10096989593.81715,10810536122.725904,10043987053.858774
S,5000,2,8,2,18,18,6,0.01,0,8603297767.049934,8413143137.429626,8603297767.049934,8411663553.912381
S,5000,2,9,2,10,10,7,0.01,0,7212906211.246226,7249186749.241935,7212906211.246226,7209717916.895212
S,5000,2,10,2,16,16,6,0.01,0,6126958208.666475,6636021123.800915,6126958208.666475,6066565272.687567
S,5000,2,3,3,5,3,4,0.01,0,22063248490.69351,23305339751.066788,22057837838.50606,22045791386.888424
S,5000,2,4,3,12,5,4,0.01,0,16310176554.126894,17100473049.237219,16623541887.90418,16117505374.51375
S,5000,2,5,3,12,9,6,0.01,0,12667631632.21635,13397628846.422478,12665505066.63814,12546439765.139269
S,5000,2,6,3,18,7,5,0.01,0,11295132868.517546,11409818253.261532,10730301736.598402,10382544714.385288
S,5000,2,7,3,5,5,12,0.01,0,9716270067.060722,9137898719.205357,9716270067.060722,8545416696.336156
S,5000,2,8,3,10,10,17,0.01,0,8584607346.933539,7392104286.234509,8584607346.933539,7389097715.414178
S,5000,2,9,3,12,12,10,0.01,0,6596442262.914765,6447368316.1920185,6596442262.914765,6445083444.134154
S,5000,2,10,3,11,11,5,0.01,0,5827243630.373885,5721692465.529869,5827243630.373885,5716318129.050005
A,3000,2,3,0,16,4,2,0.01,0,75071590.61551398,75070240.07669239,75074256.4077506,75070240.07669237
A,3000,2,4,0,4,8,7,0.01,0,62498906.87981226,55160251.20014278,55170061.22118099,55132304.546499155
A,3000,2,5,0,9,9,10,0.01,0,43118009.18087965,47400658.09258655,43118009.18087965,42865277.487465456
A,3000,2,6,0,8,8,10,0.01,0,36539834.89391084,35879840.250428796,36539834.89391084,35106395.80284565
A,3000,2,7,0,11,11,3,0.01,0,28923449.525634248,29533756.37373821,28923449.525634248,28780176.133956086
A,3000,2,8,0,4,4,3,0.01,0,27577390.244319037,24703559.992097504,27577390.244319037,23941586.549900196
A,3000,2,9,0,6,8,3,0.01,0,24422427.277299006,20496770.151932072,24062564.63889863,20368471.87049303
A,3000,2,10,0,10,9,10,0.01,0,18535052.953697484,17494898.84498333,18530947.615630507,17210257.72949194
A,5250,2,3,1,5,4,4,0.01,0,157492560.9757474,157259933.84204757,157463871.9270781,154133457.79982185
A,5250,2,4,1,15,6,7,0.01,0,110498507.85853778,106764403.89738502,106763374.4449741,106756894.28144936
A,5250,2,5,1,20,16,5,0.01,0,78757090.71898457,78697878.93197317,78894192.31309858,78687607.99843234
A,5250,2,6,1,17,9,4,0.01,0,68144407.14034764,67639907.14727174,68146704.64167197,66527207.85927525
A,5250,2,7,1,5,7,7,0.01,0,61489825.320111424,57558774.265537985,59597952.97492977,56509725.20940106
A,5250,2,8,1,5,5,14,0.01,0,50560290.86299071,49548748.523044564,50560290.86299071,49000663.80950428
A,5250,2,9,1,8,8,13,0.01,0,46588485.011251174,42468328.17836017,46588485.011251174,41940484.89764904
A,5250,2,10,1,10,10,3,0.01,0,41875621.57840104,39142788.21445118,41875621.57840104,35800728.65636768
A,7500,2,3,2,4,4,1,0.01,0,242402123.57154033,238248810.3130527,240477783.30759206,232173387.89918372
A,7500,2,4,2,8,2,11,0.01,0,142598979.64725983,142650976.99345505,142597766.20850915,142595993.98208943
A,7500,2,5,2,11,3,7,0.01,0,118104154.87416345,118373748.56139763,118125701.71030389,118066094.83456425
A,7500,2,6,2,7,4,10,0.01,0,99388100.03519095,108916167.36657473,99393953.6489295,99359750.03424978
A,7500,2,7,2,7,7,9,0.01,0,83446140.83446708,90740752.867743,83444408.56119655,83347952.75831425
A,7500,2,8,2,8,9,11,0.01,0,74753238.73665161,71390220.49642465,74774668.65531664,70847650.46538016
A,7500,2,9,2,15,10,7,0.01,0,62283658.57905047,62302207.30512145,63350914.605633125,62251567.82389542
A,7500,2,10,2,12,12,7,0.01,0,56889723.07483322,56106833.888237156,56889723.07483322,55639435.23997445
G2,2048,1024,3,10,1,1,1,0.01,0,102276.27743574734,102282.04069087109,102276.27743574734,102255.42473033738
G2,2048,1024,4,10,1,1,1,0.01,0,102169.64494225706,102186.65106895301,102169.64494225706,102139.32482420912
G2,2048,1024,5,10,1,1,1,0.01,0,102115.58004665477,102087.93407779306,102115.58004665477,102045.48165378495
G2,2048,1024,6,10,1,1,1,0.01,0,102037.24265414913,102006.90619375258,102037.24265414913,101959.93001028168
G2,2048,1024,7,10,1,1,1,0.01,0,101968.71707032507,101943.44725610504,101968.71707032507,101876.88376269882
G2,2048,1024,8,10,1,1,1,0.01,0,101896.59909953526,101896.90361264415,101896.59909953526,101802.76738776294
G2,2048,1024,9,10,1,1,1,0.01,0,101820.4770432486,101815.104614583,101820.4770432486,101743.56316710336
G2,2048,1024,10,10,1,1,1,0.01,0,101755.64222232124,101750.98987509374,101755.64222232124,101664.27320365782
G2,2048,1024,3,11,1,1,1,0.01,0,10212002.35194682,10211139.018661993,10212002.35194682,10209578.506240416
G2,2048,1024,4,11,1,1,1,0.01,0,10201375.248981986,10203602.329534736,10201375.248981986,10197236.551421242
