n,d,k,i,steps_vanilla,steps_speculation,subsample_size,seed,inertia_vanilla,inertia_speculation
7619400,5,3,0,3,1,0.01,0,688748.8632385718,482910.51243060624
7619400,5,4,0,10,1,0.01,0,464327.2180814811,463860.79690286884
7619400,5,5,0,9,1,0.01,0,399870.6133875425,399590.0044280917
7619400,5,6,0,12,1,0.01,0,335492.8847814489,334620.87553486245
7619400,5,7,0,12,1,0.01,0,284751.9774984914,284025.02568847866
7619400,5,8,0,19,1,0.01,0,240630.9953896349,240276.02105918378
7619400,5,9,0,9,1,0.01,0,209747.385608472,209261.64010209043
7619400,5,10,0,16,1,0.01,0,189278.79135054784,188761.77748042313
678013,7,3,1,9,2,0.01,0,1578850.569489246,1578882.6876426032
678013,7,4,1,16,1,0.01,0,704225.1158716034,701896.7370255479
678013,7,5,1,19,2,0.01,0,518609.66628839046,518575.41710311634
678013,7,6,1,35,1,0.01,0,398933.7514575377,398884.4076155712
678013,7,7,1,26,12,0.01,0,369334.86513642664,176744.27173538407
678013,7,8,1,27,7,0.01,0,361158.5662761655,148749.0354648347
678013,7,9,1,44,14,0.01,0,142453.3290888415,110137.23170047485
678013,7,10,1,42,9,0.01,0,139715.43754405357,106714.60262365462
4603861,9,3,2,9,1,0.01,0,887.4197777369645,886.4995051484041
4603861,9,4,2,14,1,0.01,0,677.1529698320782,675.6737358202691
4603861,9,5,2,14,1,0.01,0,576.9770548437547,575.8248694302504
4603861,9,6,2,21,1,0.01,0,491.069367817034,489.6925556780761
4603861,9,7,2,24,1,0.01,0,441.79277534721854,440.0875796463623
4603861,9,8,2,4,1,0.01,0,431.5933608399964,400.36420559623053
4603861,9,9,2,9,1,0.01,0,391.22570275327865,389.4938994977499
4603861,9,10,2,13,1,0.01,0,353.7571370374964,352.40836713499436
581835,10,3,3,4,1,0.01,0,528.7842336754278,528.7287391907228
581835,10,4,3,4,4,0.01,0,482.56601767653075,465.7757875729638
581835,10,5,3,12,3,0.01,0,422.1872647809509,421.460185689853
