L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
4805.89661497264,2383.690842924483,-2422.205772048157,1000000,19,9,0,0.01,19
3587.2108555600257,2383.690842924483,-1203.5200126355426,1000000,19,9,0,0.01,19
3323.595414777029,2383.7014919356884,-939.8939228413406,1000000,19,9,0,0.01,19
3119.9136533659394,2383.7014919356884,-736.212161430251,1000000,19,9,0,0.01,19
2938.385168608394,2383.690842924483,-554.6943256839108,1000000,19,9,0,0.01,19
2792.9731322381426,2383.690842924483,-409.2822893136595,1000000,19,9,0,0.01,19
2677.746918688456,2383.690842924483,-294.0560757639728,1000000,19,9,0,0.01,19
2590.4890582687954,2383.7014919356884,-206.78756633310695,1000000,19,9,0,0.01,19
2529.1947772367616,2383.7014919356884,-145.49328530107323,1000000,19,9,0,0.01,19
2486.7878331035,2383.7014919356884,-103.0863411678115,1000000,19,9,0,0.01,19
2457.8317548837967,2383.7014919356884,-74.13026294810834,1000000,19,9,0,0.01,19
2437.8687409774793,2383.7014919356884,-54.16724904179091,1000000,19,9,0,0.01,19
2423.479441728785,2383.7014919356884,-39.77794979309647,1000000,19,9,0,0.01,19
2413.0971054588576,2383.7014919356884,-29.39561352316923,1000000,19,9,0,0.01,19
2405.3780257124254,2383.7014919356884,-21.67653377673696,1000000,19,9,0,0.01,19
2399.5534875419453,2383.712562438281,-15.840925103664176,1000000,19,9,0,0.01,19
2395.0812499836093,2383.712562438281,-11.368687545328157,1000000,19,9,0,0.01,19
2391.618193700914,2383.712562438281,-7.905631262633051,1000000,19,9,0,0.01,19
2388.956307067307,2383.72110788739,-5.23519917991689,1000000,19,9,0,0.01,19
2386.8883256222443,2383.72110788739,-3.167217734854148,1000000,19,9,0,0.01,19
