n,d,k,i,time_execution_vanilla,time_execution_speculation,subsample_size,seed,steps_vanilla,steps_speculation,inertia_vanilla,inertia_speculation
7619400,5,3,0,3468.75,5781.25,0.01,0,3,1,688748.8632385718,482910.51243060624
7619400,5,4,0,10484.375,6671.875,0.01,0,10,1,464327.2180814811,463860.79690286884
7619400,5,5,0,11359.375,7328.125,0.01,0,9,1,399870.6133875425,399590.0044280917
7619400,5,6,0,16687.5,8203.125,0.01,0,12,1,335492.8847814489,334620.87553486245
7619400,5,7,0,18671.875,9093.75,0.01,0,12,1,284751.9774984914,284025.02568847866
7619400,5,8,0,31484.375,9937.5,0.01,0,19,1,240630.9953896349,240276.02105918378
7619400,5,9,0,18234.375,11062.5,0.01,0,9,1,209747.385608472,209261.64010209043
7619400,5,10,0,32468.75,11734.375,0.01,0,16,1,189278.79135054784,188761.77748042313
678013,7,3,1,875.0,671.875,0.01,0,9,2,1578850.569489246,1578882.6876426032
678013,7,4,1,1734.375,625.0,0.01,0,16,1,704225.1158716034,701896.7370255479
678013,7,5,1,2328.125,906.25,0.01,0,19,2,518609.66628839046,518575.41710311634
678013,7,6,1,4859.375,796.875,0.01,0,35,1,398933.7514575377,398884.4076155712
678013,7,7,1,4125.0,4015.625,0.01,0,26,12,369334.86513642664,176744.27173538407
678013,7,8,1,4718.75,2890.625,0.01,0,27,7,361158.5662761655,148749.0354648347
678013,7,9,1,8437.5,5828.125,0.01,0,44,14,142453.3290888415,110137.23170047485
678013,7,10,1,8921.875,4281.25,0.01,0,42,9,139715.43754405357,106714.60262365462
4603861,9,3,2,6953.125,5031.25,0.01,0,9,1,887.4197777369645,886.4995051484041
4603861,9,4,2,12500.0,5734.375,0.01,0,14,1,677.1529698320782,675.6737358202691
4603861,9,5,2,15125.0,6562.5,0.01,0,14,1,576.9770548437547,575.8248694302504
4603861,9,6,2,24921.875,7250.0,0.01,0,21,1,491.069367817034,489.6925556780761
4603861,9,7,2,32296.875,8109.375,0.01,0,24,1,441.79277534721854,440.0875796463623
4603861,9,8,2,8203.125,8890.625,0.01,0,4,1,431.5933608399964,400.36420559623053
4603861,9,9,2,16921.875,9500.0,0.01,0,9,1,391.22570275327865,389.4938994977499
4603861,9,10,2,25109.375,10765.625,0.01,0,13,1,353.7571370374964,352.40836713499436
581835,10,3,3,500.0,593.75,0.01,0,4,1,528.7842336754278,528.7287391907228
581835,10,4,3,609.375,1265.625,0.01,0,4,4,482.56601767653075,465.7757875729638
581835,10,5,3,1734.375,1296.875,0.01,0,12,3,422.1872647809509,421.460185689853
581835,10,6,3,1437.5,1171.875,0.01,0,8,2,384.6332291165429,384.73785163136756
581835,10,7,3,1765.625,1265.625,0.01,0,9,2,354.49248392610025,354.35452879248095
581835,10,8,3,2171.875,2203.125,0.01,0,10,4,334.2546689405361,334.02726716745565
581835,10,9,3,2437.5,1578.125,0.01,0,10,2,312.0566835685511,312.15921372439493
581835,10,10,3,2687.5,1703.125,0.01,0,10,2,297.3942165911081,297.2706496627544
1025010,11,3,4,1093.75,859.375,0.01,0,7,1,59.9175910949707,59.88921356201172
1025010,11,4,4,1281.25,984.375,0.01,0,7,1,54.83407211303711,54.817108154296875
1025010,11,5,4,1125.0,1046.875,0.01,0,5,1,51.02050018310547,51.00597381591797
1025010,11,6,4,1265.625,1140.625,0.01,0,5,1,47.717559814453125,47.681373596191406
1025010,11,7,4,1421.875,1640.625,0.01,0,5,2,45.40857696533203,45.154544830322266
1025010,11,8,4,2250.0,1781.25,0.01,0,8,2,42.976539611816406,42.67180633544922
1025010,11,9,4,2468.75,1921.875,0.01,0,8,2,40.613441467285156,40.422332763671875
1025010,11,10,4,4875.0,2078.125,0.01,0,16,2,38.433349609375,38.35007858276367
531441,12,3,5,421.875,625.0,0.01,0,3,1,740.7239043280047,740.5313082190268
531441,12,4,5,1296.875,718.75,0.01,0,10,1,485.48057572568445,483.9853968801002
531441,12,5,5,875.0,859.375,0.01,0,5,1,380.20133432985995,380.1910376763228
531441,12,6,5,1343.75,2421.875,0.01,0,7,6,346.2889374549261,326.06027262434395
531441,12,7,5,2265.625,1375.0,0.01,0,11,2,298.27759533099544,298.24812642428543
531441,12,8,5,3109.375,1562.5,0.01,0,14,2,269.48430034860775,268.5073628984659
531441,12,9,5,3625.0,3843.75,0.01,0,15,7,256.18521743385753,245.87281771043814
531441,12,10,5,2171.875,3687.5,0.01,0,7,6,245.53089229937316,233.3280414643903
1000000,13,3,6,1609.375,1421.875,0.01,0,7,1,86074532469.7986,86034449634.32224
1000000,13,4,6,2515.625,1656.25,0.01,0,9,1,76359354581.35725,76204930718.93195
1000000,13,5,6,3250.0,1906.25,0.01,0,10,1,51021352352.50333,50992898890.226524
1000000,13,6,6,3828.125,2140.625,0.01,0,10,1,44820482138.36522,44809906310.88186
1000000,13,7,6,4390.625,2359.375,0.01,0,10,1,39378131321.41771,39377640053.70991
1000000,13,8,6,4906.25,2562.5,0.01,0,10,1,37003775869.86422,37011995182.59771
1000000,13,9,6,4031.25,3718.75,0.01,0,7,2,33220072672.639034,33208723197.49293
1000000,13,10,6,4421.875,3953.125,0.01,0,7,2,30547404459.02611,30535258113.48187
1000000,16,3,7,2125.0,1796.875,0.01,0,8,1,4156765.440240709,4155652.1784745636
1000000,16,4,7,3468.75,2078.125,0.01,0,11,1,3090678.2840925357,3086210.105811141
1000000,16,5,7,10437.5,2312.5,0.01,0,31,1,1995437.8230016085,1993088.5537007244
1000000,16,6,7,11140.625,6156.25,0.01,0,28,6,1721329.372812387,1549551.6056493623
1000000,16,7,7,11875.0,3656.25,0.01,0,26,2,1698854.209594927,1294623.6744905084
1000000,16,8,7,17609.375,3093.75,0.01,0,35,1,1277171.8788741075,1042259.6348288977
1000000,16,9,7,16046.875,9578.125,0.01,0,28,7,1240733.118110899,897469.8569086164
1000000,16,10,7,22140.625,4812.5,0.01,0,36,2,987345.5277823646,983446.1307616354
732977,17,3,8,1890.625,1265.625,0.01,0,10,1,8.095795320837882e+35,8.094738279261046e+35
732977,17,4,8,4343.75,2890.625,0.01,0,19,5,5.6492897230799504e+35,4.759563127939116e+35
732977,17,5,8,7109.375,1687.5,0.01,0,27,1,3.473794898870183e+35,3.466985960237776e+35
732977,17,6,8,12203.125,4593.75,0.01,0,41,6,2.4836351993105364e+35,2.0319838074617778e+35
732977,17,7,8,16390.625,2703.125,0.01,0,49,2,1.5891930329108386e+35,1.5595265228088329e+35
732977,17,8,8,18562.5,2312.5,0.01,0,49,1,1.348833814065019e+35,1.3086718274805408e+35
732977,17,9,8,20328.125,2484.375,0.01,0,49,1,1.2196493358723888e+35,1.1790966003987584e+35
732977,17,10,8,22250.0,2750.0,0.01,0,49,1,1.1551422623724437e+35,1.0894635188801843e+35
1000000,19,3,9,2750.0,2093.75,0.01,0,9,1,14976.084126614558,14965.481165218252
1000000,19,4,9,5203.125,2453.125,0.01,0,15,1,7411.086834369002,7404.432322120343
1000000,19,5,9,8531.25,3515.625,0.01,0,21,2,5109.794881600564,5108.356449163694
1000000,19,6,9,3437.5,3921.875,0.01,0,6,2,4232.106296310646,4230.149056551993
1000000,19,7,9,9843.75,4250.0,0.01,0,18,2,3129.519873788511,3126.8088435293134
1000000,19,8,9,13078.125,4718.75,0.01,0,21,2,2709.6140142641334,2695.509241451067
1000000,19,9,9,12937.5,5187.5,0.01,0,19,2,2386.8883256222443,2379.921440631021
1000000,19,10,9,19140.625,8421.875,0.01,0,26,4,2146.297504122096,2104.854703744766
