Dimension,Inertia,labels,dataset_index,method,Steps
5,0.010496118155958278,[2 2 2 ... 4 4 4],0,Vanilla K-means,9
5,0.009193132253500927,[0 0 0 ... 3 3 3],0,K-means++,4
5,0.009117052584891244,[2 2 2 ... 4 4 4],0,Speculative K-means,2
7,75939.14181117546,[4 4 4 ... 4 4 4],1,Vanilla K-means,6
7,23607.30695039006,[0 0 0 ... 0 0 0],1,K-means++,1
7,75939.14181117546,[4 4 4 ... 4 4 4],1,Speculative K-means,2
8,708.5644118600236,[3 3 3 ... 3 3 3],2,Vanilla K-means,36
8,712.6280774655829,[0 0 0 ... 0 0 0],2,K-means++,3
8,708.2536998630811,[3 3 3 ... 3 3 3],2,Speculative K-means,19
9,13.789097524172215,[3 3 3 ... 4 4 4],3,Vanilla K-means,1
9,13.789097524172215,[1 1 1 ... 4 4 4],3,K-means++,1
9,13.789097524172215,[3 3 3 ... 4 4 4],3,Speculative K-means,1
10,0.00038857455376331324,[4 3 3 ... 1 3 4],4,Vanilla K-means,4
10,0.0003751684760290731,[2 3 3 ... 0 1 2],4,K-means++,6
10,0.00037524776426609794,[4 2 2 ... 1 3 4],4,Speculative K-means,3
11,3.686145781658607e-06,[4 0 2 ... 0 0 4],5,Vanilla K-means,25
11,3.68574565702684e-06,[4 0 1 ... 0 0 4],5,K-means++,7
11,3.6846546677384493e-06,[4 0 2 ... 0 0 4],5,Speculative K-means,2
12,5.961799057183832e-05,[3 0 3 ... 4 3 3],6,Vanilla K-means,5
12,5.964205691985485e-05,[1 2 1 ... 4 1 1],6,K-means++,8
12,5.9616375990988466e-05,[3 0 3 ... 4 3 3],6,Speculative K-means,1
13,3924.719411731025,[0 0 2 ... 0 4 0],7,Vanilla K-means,10
13,3924.1779917156764,[4 4 3 ... 4 1 4],7,K-means++,7
13,3922.530683863579,[0 0 2 ... 0 4 0],7,Speculative K-means,1
14,4584760.622162077,[4 4 4 ... 4 4 4],8,Vanilla K-means,24
14,4505594.388538604,[0 0 0 ... 0 0 0],8,K-means++,5
14,4600921.511915426,[4 4 4 ... 4 4 4],8,Speculative K-means,11
15,0.0035667571014864913,[3 3 3 ... 1 1 1],9,Vanilla K-means,15
15,0.002777039850586867,[0 0 0 ... 0 0 0],9,K-means++,6
15,0.0027737670721862044,[3 3 3 ... 3 3 3],9,Speculative K-means,3
