L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,inertia_speculation,inertia_optimal,inertia_vanilla,inertia_pp
112963.49862668988,85239.41098804065,-27724.08763864923,89640,5,8,0,0.01,49,85239.41098804065,76039.18201048358,112963.49862668988,82674.2090105952
84706.21229925116,84948.9303706813,242.71807143013572,89640,5,8,0,0.01,49,84706.21229925116,76039.18201048358,102235.63122817069,81278.9240692348
84552.57143943648,84703.89405908689,151.32261965041107,89640,5,8,0,0.01,49,84552.57143943648,76039.18201048358,97134.39064302693,80362.95838525641
84450.51476230993,84832.25938469105,381.744622381113,89640,5,8,0,0.01,49,84450.51476230993,76039.18201048358,93854.84138389249,79692.87789833192
84374.74102833057,86139.2795895008,1764.5385611702368,89640,5,8,0,0.01,49,84374.74102833057,76039.18201048358,91562.5713859947,79199.88560961495
84315.71610662842,85563.45140411565,1247.7352974872338,89640,5,8,0,0.01,49,84315.71610662842,76039.18201048358,89943.15329500135,78834.35924810295
84263.74928476838,85003.0064978627,739.2572130943299,89640,5,8,0,0.01,49,84263.74928476838,76039.18201048358,88724.35597225101,78562.11103844906
84210.81325366184,85455.64838688864,1244.8351332268066,89640,5,8,0,0.01,49,84210.81325366184,76039.18201048358,87809.10678134493,78355.82471786585
84163.49744795046,84815.4659327611,651.9684848106408,89640,5,8,0,0.01,49,84163.49744795046,76039.18201048358,87089.63998198969,78183.90881876631
84122.29683486054,84760.58050417899,638.2836693184508,89640,5,8,0,0.01,49,84122.29683486054,76039.18201048358,86532.23826216673,78044.08386390582
84086.66680050302,84395.72343211781,309.0566316147888,89640,5,8,0,0.01,49,84086.66680050302,76039.18201048358,86106.3768157154,77931.15050029998
84053.73625490112,86825.11116700283,2771.374912101717,89640,5,8,0,0.01,49,84053.73625490112,76039.18201048358,85775.69737625716,77836.52767902374
84023.11119650143,85439.01143866584,1415.9002421644109,89640,5,8,0,0.01,49,84023.11119650143,76039.18201048358,85507.90198815211,77751.9252401546
83993.29643445592,84944.8808446765,951.5844102205884,89640,5,8,0,0.01,49,83993.29643445592,76039.18201048358,85279.3791434309,77672.58119962552
83964.31155453487,85086.4909154621,1122.179360927228,89640,5,8,0,0.01,49,83964.31155453487,76039.18201048358,85071.91162182103,77606.33733047724
83936.07818818965,84928.57551963671,992.4973314470552,89640,5,8,0,0.01,49,83936.07818818965,76039.18201048358,84892.84020209004,77549.47553364246
83909.53912795777,84485.35698246851,575.8178545107367,89640,5,8,0,0.01,49,83909.53912795777,76039.18201048358,84741.74980019734,77492.32649186917
83885.1438204109,84830.8499755415,945.706155130596,89640,5,8,0,0.01,49,83885.1438204109,76039.18201048358,84609.54123929904,77439.5993841512
83860.38754154737,84330.66782180361,470.2802802562365,89640,5,8,0,0.01,49,83860.38754154737,76039.18201048358,84503.02385682795,77394.60286782206
83838.4725662457,84366.70215192165,528.2295856759447,89640,5,8,0,0.01,49,83838.4725662457,76039.18201048358,84411.108912962,77356.88511320745
83820.10883570927,85153.20138686206,1333.0925511527894,89640,5,8,0,0.01,49,83820.10883570927,76039.18201048358,84334.74282224795,77326.93924661582
83802.23115382159,84660.67336252966,858.4422087080748,89640,5,8,0,0.01,49,83802.23115382159,76039.18201048358,84275.24591317704,77303.01139753051
83788.11489467704,85136.67492401475,1348.5600293377065,89640,5,8,0,0.01,49,83788.11489467704,76039.18201048358,84224.05177858782,77282.82535310178
83774.84696599793,85037.57918287041,1262.7322168724786,89640,5,8,0,0.01,49,83774.84696599793,76039.18201048358,84171.69398012522,77267.54067228927
83761.83745657548,84707.63223514459,945.7947785691068,89640,5,8,0,0.01,49,83761.83745657548,76039.18201048358,84127.61173569458,77252.11170474454
83748.14340936641,84878.30659915869,1130.163189792278,89640,5,8,0,0.01,49,83748.14340936641,76039.18201048358,84090.17650496814,77236.07443515076
83734.28621321866,84866.24888250633,1131.9626692876773,89640,5,8,0,0.01,49,83734.28621321866,76039.18201048358,84056.4477087824,77218.6897040831
83722.87069875715,84365.85684591427,642.9861471571203,89640,5,8,0,0.01,49,83722.87069875715,76039.18201048358,84024.74997836651,77203.35435042191
83713.092894312,85627.91089706347,1914.8180027514757,89640,5,8,0,0.01,49,83713.092894312,76039.18201048358,83993.97644026701,77189.09549262119
83704.21133279642,83909.36079174987,205.1494589534559,89640,5,8,0,0.01,49,83704.21133279642,76039.18201048358,83964.91805850535,77175.92792948624
83696.48180775036,85092.08343064036,1395.601622889997,89640,5,8,0,0.01,49,83696.48180775036,76039.18201048358,83935.9155408622,77164.48710458883
83688.5739674273,84513.70903479273,825.1350673654233,89640,5,8,0,0.01,49,83688.5739674273,76039.18201048358,83908.17542042668,77154.74562799248
83682.66259389058,84027.98459784576,345.3220039551816,89640,5,8,0,0.01,49,83682.66259389058,76039.18201048358,83882.27356680855,77145.41721982928
83677.81893674399,84467.02783238968,789.2088956456864,89640,5,8,0,0.01,49,83677.81893674399,76039.18201048358,83858.1724726125,77135.68744386581
83673.80598984538,84280.91702738343,607.1110375380522,89640,5,8,0,0.01,49,83673.80598984538,76039.18201048358,83834.69581778346,77124.72476693415
83670.41261152246,85038.79390011879,1368.381288596327,89640,5,8,0,0.01,49,83670.41261152246,76039.18201048358,83815.42727469065,77115.73145767895
83666.99397613344,84542.22868860229,875.2347124688531,89640,5,8,0,0.01,49,83666.99397613344,76039.18201048358,83798.51833056845,77105.86085458187
83664.25079851365,84093.51699883063,429.2662003169826,89640,5,8,0,0.01,49,83664.25079851365,76039.18201048358,83784.50907563165,77096.84122898374
83661.69332622652,84429.60578578098,767.9124595544563,89640,5,8,0,0.01,49,83661.69332622652,76039.18201048358,83771.2748225181,77088.24401732173
83659.06224819238,84225.41249255977,566.3502443673933,89640,5,8,0,0.01,49,83659.06224819238,76039.18201048358,83758.34446608287,77080.57030690856
