L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,inertia_speculation,inertia_optimal,inertia_vanilla,inertia_pp
112963.49862668988,85239.41098804065,-27724.08763864923,89640,5,8,0,0.01,49,85239.41098804065,76039.18201048358,112963.49862668988,82674.2090105952
84706.21229925116,84829.1406724861,122.92837323494314,89640,5,8,0,0.01,49,84706.21229925116,76039.18201048358,102235.63122817069,81278.9240692348
84552.57143943648,84252.69003241071,-299.88140702576493,89640,5,8,0,0.01,49,84252.69003241071,76039.18201048358,97134.39064302693,80362.95838525641
84112.0961671783,84311.45493620489,199.35876902658487,89640,5,8,0,0.01,49,84112.0961671783,76039.18201048358,93854.84138389249,79692.87789833192
84049.47191125565,84289.51979337719,240.04788212153653,89640,5,8,0,0.01,49,84049.47191125565,76039.18201048358,91562.5713859947,79199.88560961495
84006.16687205328,84264.25544402556,258.08857197228645,89640,5,8,0,0.01,49,84006.16687205328,76039.18201048358,89943.15329500135,78834.35924810295
83971.79440957498,84251.17486427966,279.3804547046748,89640,5,8,0,0.01,49,83971.79440957498,76039.18201048358,88724.35597225101,78562.11103844906
83943.57340324175,84363.73196867156,420.15856542981055,89640,5,8,0,0.01,49,83943.57340324175,76039.18201048358,87809.10678134493,78355.82471786585
83917.30055229354,84109.69908186703,192.3985295734892,89640,5,8,0,0.01,49,83917.30055229354,76039.18201048358,87089.63998198969,78183.90881876631
83893.0144925384,84060.33474871451,167.32025617611362,89640,5,8,0,0.01,49,83893.0144925384,76039.18201048358,86532.23826216673,78044.08386390582
83868.76056791299,83971.27579300919,102.51522509619826,89640,5,8,0,0.01,49,83868.76056791299,76039.18201048358,86106.3768157154,77931.15050029998
83846.52576487018,84210.67941523666,364.1536503664829,89640,5,8,0,0.01,49,83846.52576487018,76039.18201048358,85775.69737625716,77836.52767902374
83826.35080867607,84093.8971038598,267.5462951837253,89640,5,8,0,0.01,49,83826.35080867607,76039.18201048358,85507.90198815211,77751.9252401546
83808.85034683754,83997.39954497648,188.54919813893505,89640,5,8,0,0.01,49,83808.85034683754,76039.18201048358,85279.3791434309,77672.58119962552
83793.06642918111,84003.64894679793,210.58251761681456,89640,5,8,0,0.01,49,83793.06642918111,76039.18201048358,85071.91162182103,77606.33733047724
83778.48660525931,84040.8749428282,262.38833756888926,89640,5,8,0,0.01,49,83778.48660525931,76039.18201048358,84892.84020209004,77549.47553364246
83765.3200108189,83935.2451701524,169.92515933349205,89640,5,8,0,0.01,49,83765.3200108189,76039.18201048358,84741.74980019734,77492.32649186917
83752.13441076994,83992.22760573597,240.09319496602984,89640,5,8,0,0.01,49,83752.13441076994,76039.18201048358,84609.54123929904,77439.5993841512
