L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
1.0941920913229367e+18,4.1921013558144595e+17,-6.749819557414907e+17,732977,17,5,0,0.01
9.695812173881393e+17,4.1921013558144595e+17,-5.503710818066933e+17,732977,17,5,0,0.01
7.074894240060886e+17,4.1921013558144595e+17,-2.882792884246426e+17,732977,17,5,0,0.01
5.629659758975003e+17,4.1921013558144595e+17,-1.4375584031605434e+17,732977,17,5,0,0.01
5.234409770923675e+17,4.1921013558144595e+17,-1.0423084151092154e+17,732977,17,5,0,0.01
5.0253219641547066e+17,4.1921013558144595e+17,-8.33220608340247e+16,732977,17,5,0,0.01
4.8487474541644806e+17,4.1921013558144595e+17,-6.566460983500211e+16,732977,17,5,0,0.01
4.7187001790507264e+17,4.1921013558144595e+17,-5.265988232362669e+16,732977,17,5,0,0.01
4.6261952092488026e+17,4.1921013558144595e+17,-4.34093853434343e+16,732977,17,5,0,0.01
4.540722604167351e+17,4.1921013558144595e+17,-3.486212483528915e+16,732977,17,5,0,0.01
4.549211741671637e+17,4.1921013558144595e+17,-3.571103858571776e+16,732977,17,5,0,0.01
4.577145254673634e+17,4.1921013558144595e+17,-3.850438988591744e+16,732977,17,5,0,0.01
4.588079349121434e+17,4.1921013558144595e+17,-3.959779933069747e+16,732977,17,5,0,0.01
4.57255832521731e+17,4.1921013558144595e+17,-3.804569694028506e+16,732977,17,5,0,0.01
4.563951608130386e+17,4.1921013558144595e+17,-3.718502523159264e+16,732977,17,5,0,0.01
4.551618784010492e+17,4.1921013558144595e+17,-3.5951742819603264e+16,732977,17,5,0,0.01
4.4983235311355085e+17,4.1921013558144595e+17,-3.0622217532104896e+16,732977,17,5,0,0.01
4.31793900784754e+17,4.1921013558144595e+17,-1.2583765203308032e+16,732977,17,5,0,0.01
4.238108076584949e+17,4.1921013558144595e+17,-4600672077048960.0,732977,17,5,0,0.01
4.215939468661228e+17,4.1921013558144595e+17,-2383811284676864.0,732977,17,5,0,0.01
4.2087544319637216e+17,4.1921013558144595e+17,-1665307614926208.0,732977,17,5,0,0.01
4.205783472061152e+17,4.1921013558144595e+17,-1368211624669248.0,732977,17,5,0,0.01
4.205373322742724e+17,4.1980433770720326e+17,-732994567069120.0,732977,17,5,0,0.01
4.203605964781009e+17,4.1980433770720326e+17,-556258770897664.0,732977,17,5,0,0.01
4.206414952645247e+17,4.1980433770720326e+17,-837157557321408.0,732977,17,5,0,0.01
4.209418715083515e+17,4.1986487649307546e+17,-1076995015276032.0,732977,17,5,0,0.01
4.2127242446787526e+17,4.2183121297090816e+17,558788503032896.0,732977,17,5,0,0.01
4.215994045183394e+17,4.2211253270297786e+17,513128184638464.0,732977,17,5,0,0.01
4.218476011173582e+17,4.2211253270297786e+17,264931585619648.0,732977,17,5,0,0.01
4.223205898499955e+17,4.2227755457305894e+17,-43035276936576.0,732977,17,5,0,0.01
4.225907103009841e+17,4.2227755457305894e+17,-313155727925184.0,732977,17,5,0,0.01
4.226717134003106e+17,4.2227755457305894e+17,-394158827251648.0,732977,17,5,0,0.01
4.227027450770959e+17,4.2227755457305894e+17,-425190504036928.0,732977,17,5,0,0.01
4.227779223207357e+17,4.2227755457305894e+17,-500367747676736.0,732977,17,5,0,0.01
4.228432268010866e+17,4.2227063470660256e+17,-572592094484032.0,732977,17,5,0,0.01
4.22901768151652e+17,4.222538345141334e+17,-647933637518592.0,732977,17,5,0,0.01
4.229504506211953e+17,4.222338067334172e+17,-716643887778112.0,732977,17,5,0,0.01
4.229954474935547e+17,4.222338067334172e+17,-761640760137472.0,732977,17,5,0,0.01
4.2303382149068026e+17,4.222338067334172e+17,-800014757263040.0,732977,17,5,0,0.01
4.230704559118204e+17,4.222338067334172e+17,-836649178403200.0,732977,17,5,0,0.01
4.230988955809806e+17,4.222338067334172e+17,-865088847563392.0,732977,17,5,0,0.01
4.23128235205068e+17,4.222338067334172e+17,-894428471650816.0,732977,17,5,0,0.01
4.2315483461559565e+17,4.222338067334172e+17,-921027882178432.0,732977,17,5,0,0.01
4.2318093517315296e+17,4.222338067334172e+17,-947128439735744.0,732977,17,5,0,0.01
4.231879871447214e+17,4.222338067334172e+17,-954180411304192.0,732977,17,5,0,0.01
4.232158358709991e+17,4.222338067334172e+17,-982029137581888.0,732977,17,5,0,0.01
4.232386789148547e+17,4.222338067334172e+17,-1004872181437504.0,732977,17,5,0,0.01
4.232720068664331e+17,4.222338067334172e+17,-1038200133015872.0,732977,17,5,0,0.01
4.232854454240957e+17,4.222338067334172e+17,-1051638690678464.0,732977,17,5,0,0.01
4.232996872708105e+17,4.2325490418976365e+17,-44783081046848.0,732977,17,5,0,0.01
