L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg
1728847431.4999905,1351345043.5551724,-377502387.944818,761940,6,6,0,0.01,37,125.0,15.625,218.75,0.0,0.0,15.625,375.0
1350153848.2378852,1347622104.2698445,-2531743.9680407047,761940,6,6,0,0.01,37,187.5,15.625,203.125,15.625,0.0,15.625,375.0
1346989756.0057943,1900673597.8922102,553683841.886416,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,390.625
1346716966.8676064,1890603148.520043,543886181.6524365,761940,6,6,0,0.01,37,156.25,15.625,187.5,15.625,0.0,15.625,375.0
1346533011.1720033,2074952484.6236393,728419473.4516361,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,390.625
1346393311.656927,3024198928.657016,1677805617.0000887,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,15.625,390.625
1346280858.094339,1911609347.159674,565328489.065335,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1346187523.8933544,1888624878.8887377,542437354.9953833,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1346108759.7656403,2612265598.0962663,1266156838.330626,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1346041465.6830966,1899467966.1023662,553426500.4192696,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,31.25,390.625
1345983679.6046216,3403592065.818618,2057608386.2139962,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345933763.8842006,2531784042.593731,1185850278.7095304,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345890489.0754893,4858011758.650431,3512121269.5749416,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345852975.8682325,3256538514.7151737,1910685538.8469412,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345820409.1917193,2114290645.867145,768470236.6754258,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345792049.4806056,2045561377.881828,699769328.4012225,761940,6,6,0,0.01,37,156.25,15.625,187.5,15.625,0.0,15.625,375.0
1345767417.208723,3162084687.4816384,1816317270.2729154,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345745973.9242425,3335723663.770868,1989977689.8466253,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,31.25,375.0
1345727297.5835555,1915182036.4670358,569454738.8834803,761940,6,6,0,0.01,37,156.25,15.625,203.125,15.625,0.0,15.625,375.0
1345711073.220942,2919173557.6271734,1573462484.4062314,761940,6,6,0,0.01,37,171.875,15.625,203.125,0.0,0.0,15.625,375.0
1345696951.271293,1914161930.5814476,568464979.3101547,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345684679.998457,2265913601.6541376,920228921.6556807,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,15.625,390.625
1345674017.6496308,2410219035.1305776,1064545017.4809468,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345664750.6370668,4438808572.8059635,3093143822.1688967,761940,6,6,0,0.01,37,156.25,15.625,218.75,0.0,0.0,15.625,375.0
1345656678.745645,2888230775.467678,1542574096.722033,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,15.625,390.625
1345649666.785423,2044281089.6951394,698631422.9097164,761940,6,6,0,0.01,37,156.25,15.625,187.5,0.0,0.0,15.625,390.625
1345643535.1831236,2142375706.7331328,796732171.5500093,761940,6,6,0,0.01,37,156.25,15.625,203.125,15.625,0.0,15.625,375.0
1345638198.349273,1914989587.8727567,569351389.5234838,761940,6,6,0,0.01,37,171.875,15.625,187.5,31.25,0.0,15.625,359.375
1345633548.053518,2060485140.3994527,714851592.3459346,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,15.625,359.375
1345629508.60002,2570393679.977251,1224764171.3772311,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345625981.5275831,3133895406.2917066,1788269424.7641234,761940,6,6,0,0.01,37,171.875,15.625,218.75,15.625,0.0,15.625,375.0
1345622918.6014652,3316454175.3640738,1970831256.7626085,761940,6,6,0,0.01,37,156.25,15.625,187.5,15.625,0.0,31.25,390.625
1345620248.9404864,4112070218.905603,2766449969.9651165,761940,6,6,0,0.01,37,156.25,15.625,203.125,15.625,0.0,31.25,375.0
1345617920.5882905,1928271425.2971153,582653504.7088249,761940,6,6,0,0.01,37,156.25,15.625,203.125,15.625,0.0,31.25,359.375
1345615892.835111,1346411204.1822908,795311.3471798897,761940,6,6,0,0.01,37,187.5,15.625,203.125,15.625,0.0,15.625,375.0
1345614135.5971022,2085770298.5772154,740156162.9801133,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,15.625,390.625
1345612588.0480986,3231268664.952496,1885656076.9043975,761940,6,6,0,0.01,37,171.875,15.625,203.125,15.625,0.0,15.625,375.0
1345611250.3931954,2659873689.5312443,1314262439.138049,761940,6,6,0,0.01,37,171.875,15.625,187.5,15.625,0.0,15.625,390.625
