L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
4.090908091646964,3.348755247627204,-0.7421528440197598,100000,3,4,0,0.01
3.566847361882272,3.348755247627204,-0.21809211425506803,100000,3,4,0,0.01
3.3901399076864474,3.348755247627204,-0.04138466005924357,100000,3,4,0,0.01
3.3441645108201943,3.348755247627204,0.004590736807009499,100000,3,4,0,0.01
3.333739172582833,3.3480172170572025,0.014278044474369533,100000,3,4,0,0.01
3.3315278418113965,3.3480172170572025,0.01648937524580596,100000,3,4,0,0.01
3.331059208408997,3.3480172170572025,0.016958008648205514,100000,3,4,0,0.01
3.3309583426030143,3.3480172170572025,0.01705887445418819,100000,3,4,0,0.01
3.330938598827991,3.3480172170572025,0.01707861822921153,100000,3,4,0,0.01
3.330935792131922,3.3480172170572025,0.01708142492528042,100000,3,4,0,0.01
3.3309341470838985,3.3480172170572025,0.017083069973304,100000,3,4,0,0.01
3.330933542281406,3.3480172170572025,0.01708367477579653,100000,3,4,0,0.01
3.3309333883183134,3.3480172170572025,0.01708382873888903,100000,3,4,0,0.01
3.3309333335883657,3.3480172170572025,0.017083883468836714,100000,3,4,0,0.01
3.3309332855152176,3.3480172170572025,0.017083931541984843,100000,3,4,0,0.01
3.3309332525903543,3.3480172170572025,0.017083964466848123,100000,3,4,0,0.01
3.330933230348583,3.3480172170572025,0.01708398670861966,100000,3,4,0,0.01
3.330933226941889,3.3480172170572025,0.017083990115313252,100000,3,4,0,0.01
3.330933226941889,3.3480172170572025,0.017083990115313252,100000,3,4,0,0.01
