L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
117692.25867124052,31501.51083384319,-86190.74783739733,241600,18,5,0,0.01,36
93755.55263273744,31501.51083384319,-62254.04179889425,241600,18,5,0,0.01,36
68968.51472381424,31501.51083384319,-37467.00388997105,241600,18,5,0,0.01,36
54624.44928366994,31501.51083384319,-23122.938449826754,241600,18,5,0,0.01,36
51221.67098823978,31501.51083384319,-19720.160154396588,241600,18,5,0,0.01,36
50709.21906981723,31501.51083384319,-19207.708235974038,241600,18,5,0,0.01,36
50068.23777406637,31501.51083384319,-18566.726940223183,241600,18,5,0,0.01,36
49269.228815823,31501.51083384319,-17767.71798197981,241600,18,5,0,0.01,36
47326.76481267019,31501.51083384319,-15825.253978827,241600,18,5,0,0.01,36
44056.17324173933,31501.51083384319,-12554.66240789614,241600,18,5,0,0.01,36
41039.1469823804,31501.51083384319,-9537.63614853721,241600,18,5,0,0.01,36
38113.11804851487,31501.51083384319,-6611.607214671683,241600,18,5,0,0.01,36
35615.06407345966,31501.51083384319,-4113.553239616471,241600,18,5,0,0.01,36
33438.29822254993,31501.51083384319,-1936.7873887067399,241600,18,5,0,0.01,36
31908.225431878174,31501.51083384319,-406.7145980349851,241600,18,5,0,0.01,36
31232.809410022997,31354.634269601644,121.82485957864628,241600,18,5,0,0.01,36
31029.604116935818,31242.98071728696,213.37660035114095,241600,18,5,0,0.01,36
30947.91757857506,31240.798864091317,292.8812855162578,241600,18,5,0,0.01,36
30908.27998981918,31240.798864091317,332.5188742721366,241600,18,5,0,0.01,36
30886.004132493963,30997.313538173676,111.30940567971265,241600,18,5,0,0.01,36
30870.906341744445,30950.281357809265,79.37501606481965,241600,18,5,0,0.01,36
30860.560556977984,30934.34277424522,73.78221726723496,241600,18,5,0,0.01,36
30856.890129961357,30934.34277424522,77.45264428386145,241600,18,5,0,0.01,36
30855.0976762769,30934.34277424522,79.2450979683199,241600,18,5,0,0.01,36
30853.891486761724,31466.057648602924,612.1661618411999,241600,18,5,0,0.01,36
30853.181973873692,31466.057648602924,612.8756747292318,241600,18,5,0,0.01,36
30852.820859640997,31466.057648602924,613.2367889619272,241600,18,5,0,0.01,36
30852.67068492312,31466.057648602924,613.3869636798045,241600,18,5,0,0.01,36
30852.594354640234,31466.057648602924,613.4632939626899,241600,18,5,0,0.01,36
30852.508586400494,31466.057648602924,613.5490622024299,241600,18,5,0,0.01,36
30852.47789793146,31466.057648602924,613.5797506714625,241600,18,5,0,0.01,36
30852.45558611106,31466.057648602924,613.6020624918638,241600,18,5,0,0.01,36
30852.44890589734,31466.057648602924,613.6087427055827,241600,18,5,0,0.01,36
30852.435072144846,31466.057648602924,613.6225764580777,241600,18,5,0,0.01,36
30852.432846391188,31466.057648602924,613.6248022117361,241600,18,5,0,0.01,36
30852.432754182762,31466.057648602924,613.6248944201616,241600,18,5,0,0.01,36
30852.432754182762,31466.057648602924,613.6248944201616,241600,18,5,0,0.01,36
