L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
117692.25867124052,31501.51083384319,-86190.74783739733,241600,18,5,0,0.01,22
31087.466807745277,31501.51083384319,414.04402609791214,241600,18,5,0,0.01,22
30983.020153230795,31240.798864091317,257.77871086052255,241600,18,5,0,0.01,22
30930.053988956246,31240.798864091317,310.7448751350712,241600,18,5,0,0.01,22
30899.285932716393,30997.313538173676,98.02760545728233,241600,18,5,0,0.01,22
30880.608251356585,30950.281357809265,69.67310645267935,241600,18,5,0,0.01,22
30868.491135415203,30950.281357809265,81.79022239406186,241600,18,5,0,0.01,22
30859.57055960494,30934.34277424522,74.77221464027753,241600,18,5,0,0.01,22
30856.48674756612,30934.34277424522,77.85602667909916,241600,18,5,0,0.01,22
30854.945040785216,30934.34277424522,79.3977334600022,241600,18,5,0,0.01,22
30853.84685218593,31466.057648602924,612.2107964169954,241600,18,5,0,0.01,22
30853.119318614954,31466.057648602924,612.9383299879701,241600,18,5,0,0.01,22
30852.794148943525,31466.057648602924,613.2634996593988,241600,18,5,0,0.01,22
30852.647080686726,31466.057648602924,613.4105679161985,241600,18,5,0,0.01,22
30852.561887680095,31466.057648602924,613.4957609228295,241600,18,5,0,0.01,22
30852.493582382594,31466.057648602924,613.5640662203296,241600,18,5,0,0.01,22
30852.474563001288,31466.057648602924,613.5830856016364,241600,18,5,0,0.01,22
30852.451017978634,31466.057648602924,613.6066306242901,241600,18,5,0,0.01,22
30852.43598988649,31466.057648602924,613.6216587164345,241600,18,5,0,0.01,22
30852.433087201058,31466.057648602924,613.6245614018662,241600,18,5,0,0.01,22
30852.432786193145,31466.057648602924,613.6248624097789,241600,18,5,0,0.01,22
30852.432754182762,31466.057648602924,613.6248944201616,241600,18,5,0,0.01,22
30852.432754182762,31466.057648602924,613.6248944201616,241600,18,5,0,0.01,22
