L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
3673867712.8471856,3028877668.794366,-644990044.0528197,761940,6,4,0,0.01,14
3490582777.922686,3028877668.794366,-461705109.1283202,761940,6,4,0,0.01,14
3362191119.26165,3028877668.794366,-333313450.4672842,761940,6,4,0,0.01,14
3270078345.234184,3028877668.794366,-241200676.4398179,761940,6,4,0,0.01,14
3203434881.905779,3028877668.794366,-174557213.111413,761940,6,4,0,0.01,14
3155037853.7910323,3028877668.794366,-126160184.99666643,761940,6,4,0,0.01,14
3119830006.874826,3028877668.794366,-90952338.08046007,761940,6,4,0,0.01,14
3094197597.8267703,3028877668.794366,-65319929.03240442,761940,6,4,0,0.01,14
3075530047.4581876,3028877668.794366,-46652378.6638217,761940,6,4,0,0.01,14
3061932168.5424194,3028877668.794366,-33054499.74805355,761940,6,4,0,0.01,14
3052027044.408283,3028877668.794366,-23149375.61391735,761940,6,4,0,0.01,14
3044811203.1557465,3028877668.794366,-15933534.361380577,761940,6,4,0,0.01,14
3039552745.7940645,3028877668.794366,-10675076.999698639,761940,6,4,0,0.01,14
3035722526.9447527,3028877668.794366,-6844858.15038681,761940,6,4,0,0.01,14
3032931689.5695214,3028877668.794366,-4054020.7751555443,761940,6,4,0,0.01,14
