L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
38402999537383.05,18808320039765.402,-19594679497617.645,138509,14,3,0,0.01,9
15442362254457.11,18808320039765.402,3365957785308.293,138509,14,3,0,0.01,9
14843119989088.223,17397419892055.904,2554299902967.6816,138509,14,3,0,0.01,9
14503506597161.934,17397419892055.904,2893913294893.9707,138509,14,3,0,0.01,9
14279497030938.096,17397419892055.904,3117922861117.8086,138509,14,3,0,0.01,9
14149525635848.86,17397419892055.904,3247894256207.045,138509,14,3,0,0.01,9
14035370909271.688,17397419892055.904,3362048982784.217,138509,14,3,0,0.01,9
13967496210562.867,17397419892055.904,3429923681493.037,138509,14,3,0,0.01,9
13944287645062.793,17397419892055.904,3453132246993.1113,138509,14,3,0,0.01,9
13939742730392.969,17397419892055.904,3457677161662.9355,138509,14,3,0,0.01,9
