L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
20682891964.826885,1939958823.912881,-18742933140.914005,761940,6,5,0,0.01,13,1939958823.912881,20682891964.826885,1939958823.912881,1936907182.9944196
1938896586.160858,1942192798.5596435,3296212.398785591,761940,6,5,0,0.01,13,1938896586.160858,11340370789.276333,1938896586.160858,1936907182.9944196
1938484014.2203915,1938934309.734284,450295.513892889,761940,6,5,0,0.01,13,1938484014.2203915,7906582483.46983,1938484014.2203915,1936907182.9944196
1938181170.3608408,1940919902.851819,2738732.490978241,761940,6,5,0,0.01,13,1938181170.3608408,6142451601.514387,1938181170.3608408,1936907182.9944196
1937943239.2260244,1937847546.9551976,-95692.27082657814,761940,6,5,0,0.01,13,1937847546.9551976,5076194115.234779,1937943239.2260244,1936907182.9944196
1937174651.9360445,1938881764.7743623,1707112.8383181095,761940,6,5,0,0.01,13,1937174651.9360445,4363246809.258128,1937662541.4910245,1936907182.9944196
1937013633.097629,1937283137.953304,269504.8556749821,761940,6,5,0,0.01,13,1937013633.097629,3852922888.426932,1937017967.80868,1936907182.9944196
1936958117.155266,1940001063.6119893,3042946.456723452,761940,6,5,0,0.01,13,1936958117.155266,3470223121.670997,1936946934.6927,1936907182.9944196
1936934698.6432471,1961697950.1352532,24763251.492006306,761940,6,5,0,0.01,13,1936934698.6432471,3174152641.69463,1936923231.2015767,1936907182.9944196
1936923656.4569623,1942875997.3438923,5952340.88692975,761940,6,5,0,0.01,13,1936923656.4569623,2940395985.5422044,1936913659.577587,1936907182.9944196
1936917976.7492611,1938513372.4950423,1595395.7457809448,761940,6,5,0,0.01,13,1936917976.7492611,2753411726.4009123,1936909566.789596,1936907182.9944196
1936914738.4150856,1951085551.6634624,14170813.248377085,761940,6,5,0,0.01,13,1936914738.4150856,2602600980.2074184,1936907749.114921,1936907182.9944196
1936912685.7238936,1938837586.9238207,1924901.1999275684,761940,6,5,0,0.01,13,1936912685.7238936,2480331688.5066547,,1936907182.9944196
1936911265.3100116,1942136333.4330568,5225068.1230454445,761940,6,5,0,0.01,13,1936911265.3100116,2380874382.4754944,,1936907182.9944196
