L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
2.011952770228138,1.7654686122845686,-0.24648415794356948,10000,2,3,0,0.01,12
1.6978186805420354,1.7723827167450974,0.07456403620306196,10000,2,3,0,0.01,12
1.683081542692858,1.7271055752114426,0.044024032518584555,10000,2,3,0,0.01,12
1.6770186022821345,1.7319782437390385,0.05495964145690402,10000,2,3,0,0.01,12
1.6740915080516272,1.7275607374062056,0.05346922935457843,10000,2,3,0,0.01,12
1.6731034348158853,1.7305219851739875,0.05741855035810217,10000,2,3,0,0.01,12
1.6727267911946226,1.7530746831259396,0.08034789193131697,10000,2,3,0,0.01,12
1.672556555885741,1.8571753422190955,0.1846187863333546,10000,2,3,0,0.01,12
1.6725091181534824,1.7394702745369526,0.06696115638347022,10000,2,3,0,0.01,12
1.6724887685240584,1.7321140719197046,0.0596253033956462,10000,2,3,0,0.01,12
1.6724771242211431,1.7858620720735472,0.11338494785240405,10000,2,3,0,0.01,12
1.6724738311319507,1.717749893963863,0.04527606283191221,10000,2,3,0,0.01,12
1.672473144375821,1.8001395081890659,0.12766636381324492,10000,2,3,0,0.01,12
