L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
1.9120205102619625,1.6779701065094652,-0.2340504037524973,46415,2,3,0,0.01,9
1.6617089839608759,1.661450132481952,-0.0002588514789239049,46415,2,3,0,0.01,9
1.6563900121089912,1.7216776696885718,0.06528765757958066,46415,2,3,0,0.01,9
1.6555784144721621,1.666804394086932,0.011225979614769788,46415,2,3,0,0.01,9
1.6554467046407009,1.690198411944158,0.03475170730345711,46415,2,3,0,0.01,9
1.6554056961748098,1.6749053794101505,0.01949968323534068,46415,2,3,0,0.01,9
1.655388203784404,1.6672441962804019,0.01185599249599778,46415,2,3,0,0.01,9
1.655382232392614,1.6657373498476784,0.010355117455064455,46415,2,3,0,0.01,9
1.6553805436874032,1.667507894581027,0.012127350893623934,46415,2,3,0,0.01,9
1.6553797946756674,1.6682585542235082,0.01287875954784079,46415,2,3,0,0.01,9
