L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling
1141251877.388311,1245625917.3878715,104374039.9995606,22784,9,5,0,0.01,14,0.0,0.0,0.0,0.0
1101791933.808515,904076008.8200105,-197715924.98850453,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
881797941.3114758,858803143.9404746,-22994797.371001124,22784,9,5,0,0.01,14,15.625,0.0,15.625,0.0
849107991.5791117,857564480.8238674,8456489.244755745,22784,9,5,0,0.01,14,15.625,0.0,15.625,0.0
846225869.9596016,847010247.3476497,784377.3880480528,22784,9,5,0,0.01,14,0.0,0.0,0.0,0.0
843421531.9478662,852878109.8952801,9456577.947413921,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
840207434.8131714,841752767.2364287,1545332.423257351,22784,9,5,0,0.01,14,0.0,15.625,15.625,0.0
836325255.5548941,855312500.5550311,18987245.00013697,22784,9,5,0,0.01,14,15.625,0.0,15.625,0.0
832378325.9723619,834450410.833987,2072084.8616250753,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
830087518.9271276,851070739.0920265,20983220.164898872,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
828842733.3241574,832463150.9711373,3620417.646979928,22784,9,5,0,0.01,14,15.625,0.0,15.625,0.0
827622747.4696504,832081983.3672698,4459235.897619367,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
826740141.0062472,825843260.4614488,-896880.5447983742,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
821719512.1432769,823794709.4852365,2075197.3419595957,22784,9,5,0,0.01,14,0.0,0.0,15.625,0.0
821177371.3107891,,,22784,9,5,0,0.01,14,15.625,0.0,15.625,0.0
